swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.2454,0.0038,0.0014,0.0003,0.0026,0.1548,0.0558,0.1902,0.0649,0.0905,0.0017,0.0926,0.0002,0.5652,0.9151,2038.033
36,Z,H,0.2324,0.0030,0.0010,0.0002,0.0017,0.1329,0.0436,0.1499,0.0737,0.0741,0.0016,0.0814,0.0004,0.4812,0.8048,2088.894
37,H,Z,0.2575,0.0054,0.0014,0.0005,0.0032,0.1653,0.0586,0.1862,0.1136,0.0501,0.0226,0.0749,0.0004,0.5802,0.9486,2139.888
38,Z,H,0.3228,0.0055,0.0015,0.0005,0.0032,0.2395,0.0905,0.2012,0.0561,0.0874,0.0086,0.0583,0.0001,0.6836,1.0869,2191.026
39,H,Z,0.2623,0.0053,0.0016,0.0004,0.0030,0.1807,0.0519,0.2129,0.1036,0.0732,0.0240,0.0754,0.0003,0.6307,1.0053,2242.091
40,Z,H,0.2206,0.0045,0.0016,0.0005,0.0024,0.1404,0.0537,0.1671,0.0690,0.1495,0.0015,0.0890,0.0003,0.5891,0.9114,2293.052
41,H,Z,0.2643,0.0054,0.0012,0.0006,0.0035,0.2022,0.0592,0.2442,0.1102,0.0768,0.0392,0.0914,0.0004,0.7002,1.1083,2344.213
42,Z,H,0.2497,0.0052,0.0018,0.0006,0.0035,0.1671,0.0563,0.2272,0.1079,0.0795,0.0013,0.0729,0.0005,0.6477,0.9852,2395.246
43,H,Z,0.2316,0.0034,0.0018,0.0004,0.0022,0.1491,0.0558,0.1487,0.0647,0.0750,0.0045,0.0638,0.0003,0.5003,0.8099,2446.099
44,Z,H,0.1830,0.0034,0.0011,0.0002,0.0017,0.1406,0.0430,0.1401,0.0627,0.0694,0.0254,0.0781,0.0004,0.4632,0.7584,2496.910
45,H,Z,0.2027,0.0042,0.0012,0.0003,0.0020,0.1446,0.0523,0.1452,0.0675,0.0744,0.0076,0.0652,0.0003,0.4913,0.7770,2547.730
46,Z,H,0.1960,0.0036,0.0011,0.0003,0.0018,0.1742,0.0611,0.1300,0.0595,0.0664,0.0008,0.0565,0.0001,0.4968,0.7587,2598.535
47,H,Z,0.1956,0.0040,0.0011,0.0003,0.0017,0.1390,0.0607,0.1636,0.0632,0.0756,0.0035,0.0877,0.0002,0.5108,0.8070,2649.388
48,Z,H,0.3168,0.0045,0.0015,0.0004,0.0024,0.2125,0.0459,0.1661,0.0599,0.0734,0.0013,0.0692,0.0002,0.5648,0.9632,2700.397
49,H,Z,0.2223,0.0040,0.0016,0.0002,0.0021,0.1513,0.0448,0.1331,0.0682,0.0826,0.0013,0.0606,0.0003,0.4870,0.7814,2751.213
50,Z,H,0.2021,0.0045,0.0012,0.0005,0.0022,0.1435,0.0606,0.1475,0.0561,0.0857,0.0228,0.0675,0.0003,0.5017,0.8049,2802.074
51,H,Z,0.2121,0.0039,0.0011,0.0005,0.0025,0.1601,0.0541,0.1389,0.0651,0.0754,0.0182,0.0763,0.0003,0.5014,0.8179,2852.946
52,Z,H,0.2293,0.0045,0.0013,0.0006,0.0022,0.1443,0.0519,0.1393,0.0734,0.0850,0.0281,0.0700,0.0001,0.4999,0.8383,2903.827
53,H,Z,0.3040,0.0046,0.0016,0.0005,0.0027,0.1690,0.0613,0.1856,0.0973,0.0802,0.0082,0.0698,0.0003,0.6009,0.9948,2954.869
54,Z,H,0.2366,0.0039,0.0012,0.0003,0.0021,0.1349,0.0487,0.1434,0.0610,0.0849,0.0063,0.0756,0.0004,0.4811,0.8094,3005.727
55,H,Z,0.2023,0.0033,0.0010,0.0003,0.0021,0.1378,0.0526,0.1467,0.0736,0.0801,0.0012,0.0673,0.0003,0.4990,0.7790,3056.550
