swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.3543,0.0061,0.0023,0.0008,0.0060,0.2329,0.6954,0.3661,0.0553,0.1964,0.0020,0.0929,0.0004,1.5593,2.0271,2095.509
36,Z,H,0.3585,0.0042,0.0014,0.0005,0.0040,0.2371,0.8158,0.3359,0.0517,0.1795,0.0022,0.0773,0.0002,1.6352,2.0853,2147.680
37,H,Z,0.3163,0.0052,0.0014,0.0005,0.0045,0.2296,0.6418,0.3309,0.0500,0.1709,0.0019,0.0779,0.0006,1.4341,1.8448,2199.580
38,Z,H,0.3176,0.0040,0.0015,0.0003,0.0042,0.2101,0.6255,0.3504,0.0584,0.1859,0.0020,0.0717,0.0003,1.4419,1.8459,2251.490
39,H,Z,0.3501,0.0065,0.0018,0.0005,0.0158,0.2456,0.7915,0.7463,0.0898,0.1781,0.0012,0.0710,0.0004,2.0682,2.5180,2304.070
40,Z,H,0.3472,0.0043,0.0015,0.0004,0.0035,0.2507,0.7985,0.3387,0.0615,0.1368,0.0010,0.0598,0.0003,1.6015,2.0212,2356.138
41,H,Z,0.3141,0.0044,0.0014,0.0002,0.0035,0.2138,0.5318,0.3549,0.0507,0.2005,0.0012,0.0582,0.0002,1.3621,1.7472,2407.926
42,Z,H,0.3382,0.0046,0.0012,0.0002,0.0071,0.2619,0.6049,0.3573,0.0590,0.1268,0.0009,0.0571,0.0001,1.4195,1.8308,2459.812
43,H,Z,0.3100,0.0043,0.0013,0.0003,0.0039,0.2219,0.5414,0.3554,0.0536,0.1924,0.0019,0.0747,0.0003,1.3770,1.7757,2511.763
44,Z,H,0.3686,0.0042,0.0015,0.0004,0.0041,0.2569,0.8032,0.3614,0.0619,0.1693,0.0024,0.0952,0.0492,1.6644,2.1925,2564.040
45,H,Z,0.3469,0.0060,0.0015,0.0009,0.0072,0.2442,0.8920,0.6116,0.1029,0.1680,0.0351,0.0692,0.0004,2.0306,2.5001,2616.588
46,Z,H,0.4194,0.0052,0.0013,0.0004,0.0041,0.3112,0.6419,0.3384,0.0753,0.1807,0.0125,0.0623,0.0003,1.5579,2.0658,2668.711
