swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.1893,0.0037,0.0014,0.0002,0.0025,0.1464,0.0554,0.1439,0.0551,0.0738,0.0014,0.0540,0.0002,0.4853,0.7402,2046.064
36,Z,H,0.2494,0.0058,0.0015,0.0008,0.0046,0.1668,0.3159,0.1368,0.0672,0.1212,0.0087,0.0642,0.0002,0.8179,1.1554,2097.269
37,H,Z,0.3765,0.0075,0.0020,0.0009,0.0045,0.2341,0.0657,0.2174,0.0924,0.0882,0.0011,0.0627,0.0003,0.7047,1.1635,2148.472
38,Z,H,0.2453,0.0041,0.0018,0.0004,0.0043,0.2058,0.2266,0.1233,0.0843,0.1259,0.0012,0.0645,0.0003,0.7753,1.0993,2199.629
39,H,Z,0.2312,0.0065,0.0013,0.0006,0.0039,0.1784,0.0635,0.2004,0.0893,0.0638,0.0011,0.0757,0.0005,0.6023,0.9258,2250.595
40,Z,H,0.2635,0.0067,0.0023,0.0006,0.0038,0.1668,0.2275,0.1292,0.0648,0.1325,0.0255,0.0799,0.0005,0.7322,1.1178,2301.768
41,H,Z,0.2280,0.0060,0.0015,0.0004,0.0041,0.1464,0.0688,0.2016,0.0943,0.0911,0.0066,0.0545,0.0003,0.6119,0.9157,2352.726
42,Z,H,0.2578,0.0049,0.0014,0.0005,0.0035,0.1694,0.1282,0.1784,0.0712,0.1097,0.0009,0.0707,0.0003,0.6652,1.0068,2403.778
43,H,Z,0.2137,0.0056,0.0009,0.0003,0.0035,0.1515,0.0581,0.2081,0.0933,0.0859,0.0010,0.0674,0.0003,0.6043,0.8993,2454.724
44,Z,H,0.2889,0.0047,0.0016,0.0005,0.0036,0.2070,0.2644,0.1541,0.0836,0.1280,0.0158,0.0830,0.0004,0.8475,1.2488,2506.028
45,H,Z,0.1999,0.0040,0.0013,0.0004,0.0026,0.1322,0.0564,0.1410,0.0647,0.0708,0.0253,0.0731,0.0003,0.4723,0.7813,2556.860
46,Z,H,0.2539,0.0063,0.0016,0.0007,0.0049,0.1707,0.2972,0.1286,0.0935,0.1633,0.0011,0.0839,0.0003,0.8612,1.2160,2608.132
47,H,Z,0.2133,0.0070,0.0026,0.0015,0.0034,0.1917,0.0890,0.1756,0.0798,0.1030,0.0018,0.1121,0.0007,0.6514,0.9969,2659.192
