idx,t_rel_s,delta_ms,len,version,payload_prefix
68,4.271707336,10.272807,30,v6,88000000ffffffffffffa8dd9f4dc5b5
69,4.283959049,12.251713,30,v6,88000000ffffffffffffa8dd9f4dc5b5
70,4.293952564,9.993515,30,v6,88000000ffffffffffffa8dd9f4dc5b5
71,4.304302085,10.349521,30,v6,88000000ffffffffffffa8dd9f4dc5b5
72,4.315154794,10.852709,30,v6,88000000ffffffffffffa8dd9f4dc5b5
73,4.326404144,11.249350,30,v6,88000000ffffffffffffa8dd9f4dc5b5
74,4.336487339,10.083195,30,v6,88000000ffffffffffffa8dd9f4dc5b5
75,4.346833688,10.346349,30,v6,88000000ffffffffffffa8dd9f4dc5b5
76,4.358074926,11.241238,30,v6,88000000ffffffffffffa8dd9f4dc5b5
77,4.368046924,9.971998,30,v6,88000000ffffffffffffa8dd9f4dc5b5
78,4.380392696,12.345772,30,v6,88000000ffffffffffffa8dd9f4dc5b5
79,4.390430454,10.037758,30,v6,88000000ffffffffffffa8dd9f4dc5b5
80,4.401644709,11.214255,30,v6,88000000ffffffffffffa8dd9f4dc5b5
81,4.411905400,10.260691,30,v6,88000000ffffffffffffa8dd9f4dc5b5
82,4.423192457,11.287057,30,v6,88000000ffffffffffffa8dd9f4dc5b5
83,4.433179008,9.986551,30,v6,88000000ffffffffffffa8dd9f4dc5b5
84,4.444503970,11.324962,30,v6,88000000ffffffffffffa8dd9f4dc5b5
85,4.454527325,10.023355,30,v6,88000000ffffffffffffa8dd9f4dc5b5
86,4.465664461,11.137136,30,v6,88000000ffffffffffffa8dd9f4dc5b5
87,4.476005686,10.341225,30,v6,88000000ffffffffffffa8dd9f4dc5b5
88,4.488232727,12.227041,30,v6,88000000ffffffffffffa8dd9f4dc5b5
89,4.497316043,9.083316,30,v6,88000000ffffffffffffa8dd9f4dc5b5
90,4.508582455,11.266412,30,v6,88000000ffffffffffffa8dd9f4dc5b5
91,4.519677025,11.094570,30,v6,88000000ffffffffffffa8dd9f4dc5b5
92,4.529741662,10.064637,30,v6,88000000ffffffffffffa8dd9f4dc5b5
93,4.541213173,11.471511,30,v6,88000000ffffffffffffa8dd9f4dc5b5
94,4.552405140,11.191967,30,v6,88000000ffffffffffffa8dd9f4dc5b5
95,4.563110029,10.704889,30,v6,88000000ffffffffffffa8dd9f4dc5b5
