swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.0637,0.0014,0.0004,0.0001,0.0010,0.0411,0.0189,0.0417,0.0197,0.0224,0.0010,0.0274,0.0001,0.1462,0.2419,1619.661
36,Z,H,0.0923,0.0029,0.0005,0.0002,0.0017,0.0711,0.1369,0.0443,0.0412,0.0448,0.0011,0.0341,0.0003,0.3419,0.4759,1660.156
37,H,Z,0.0661,0.0017,0.0006,0.0000,0.0065,0.0435,0.0212,0.0491,0.0233,0.0189,0.0003,0.0306,0.0000,0.1576,0.2642,1700.433
38,Z,H,0.0830,0.0016,0.0004,0.0001,0.0012,0.0629,0.0549,0.0417,0.0251,0.0416,0.0069,0.0410,0.0000,0.2294,0.3645,1740.817
39,H,Z,0.0779,0.0015,0.0004,0.0002,0.0007,0.0462,0.0196,0.0430,0.0216,0.0269,0.0018,0.0259,0.0001,0.1596,0.2689,1781.099
40,Z,H,0.0665,0.0015,0.0004,0.0001,0.0012,0.0458,0.0680,0.0295,0.0192,0.0380,0.0005,0.0196,0.0001,0.2030,0.2934,1821.406
41,H,Z,0.0906,0.0022,0.0005,0.0001,0.0010,0.0585,0.0270,0.0745,0.0507,0.0209,0.0093,0.0322,0.0002,0.2342,0.3717,1861.794
42,Z,H,0.0740,0.0014,0.0007,0.0002,0.0010,0.0483,0.0690,0.0311,0.0179,0.0356,0.0007,0.0292,0.0001,0.2053,0.3136,1902.125
43,H,Z,0.0669,0.0013,0.0005,0.0002,0.0007,0.0422,0.0201,0.0503,0.0224,0.0206,0.0080,0.0321,0.0001,0.1580,0.2684,1942.407
44,Z,H,0.0659,0.0015,0.0004,0.0001,0.0009,0.0461,0.0739,0.0300,0.0199,0.0413,0.0022,0.0317,0.0001,0.2136,0.3169,1982.738
45,H,Z,0.0633,0.0017,0.0004,0.0001,0.0009,0.0438,0.0195,0.0500,0.0197,0.0224,0.0005,0.0186,0.0001,0.1575,0.2437,2022.993
46,Z,H,0.0706,0.0012,0.0004,0.0001,0.0015,0.0473,0.1263,0.0284,0.0194,0.0432,0.0003,0.0267,0.0001,0.2671,0.3685,2063.373
47,H,Z,0.0620,0.0012,0.0004,0.0003,0.0012,0.0416,0.0177,0.0454,0.0223,0.0209,0.0040,0.0264,0.0001,0.1499,0.2460,2103.650
48,Z,H,0.0772,0.0023,0.0009,0.0002,0.0015,0.0484,0.0988,0.0433,0.0241,0.0414,0.0076,0.0296,0.0002,0.2591,0.3793,2144.045
49,H,Z,0.0609,0.0011,0.0004,0.0001,0.0009,0.0433,0.0205,0.0427,0.0272,0.0182,0.0016,0.0298,0.0001,0.1544,0.2496,2184.307
50,Z,H,0.1025,0.0015,0.0005,0.0001,0.0015,0.0626,0.0667,0.0517,0.0315,0.0516,0.0005,0.0367,0.0001,0.2675,0.4115,2224.735
51,H,Z,0.0663,0.0015,0.0005,0.0002,0.0009,0.0434,0.0204,0.0514,0.0232,0.0208,0.0067,0.0280,0.0001,0.1614,0.2662,2265.014
52,Z,H,0.0628,0.0012,0.0006,0.0001,0.0012,0.0463,0.0867,0.0295,0.0197,0.0446,0.0010,0.0341,0.0002,0.2291,0.3307,2305.360
53,H,Z,0.0650,0.0017,0.0003,0.0001,0.0009,0.0481,0.0204,0.0459,0.0223,0.0266,0.0006,0.0264,0.0001,0.1656,0.2614,2345.636
54,Z,H,0.0675,0.0013,0.0004,0.0001,0.0014,0.0469,0.0717,0.0317,0.0207,0.0452,0.0033,0.0268,0.0001,0.2186,0.3203,2385.971
55,H,Z,0.0589,0.0010,0.0004,0.0001,0.0008,0.0387,0.0168,0.0419,0.0270,0.0163,0.0069,0.0181,0.0001,0.1429,0.2297,2426.211
56,Z,H,0.0613,0.0010,0.0003,0.0001,0.0012,0.0441,0.0613,0.0275,0.0179,0.0401,0.0061,0.0289,0.0000,0.1934,0.2930,2466.521
57,H,Z,0.0576,0.0011,0.0004,0.0001,0.0005,0.0441,0.0169,0.0399,0.0219,0.0203,0.0034,0.0292,0.0001,0.1457,0.2386,2506.772
58,Z,H,0.0696,0.0011,0.0003,0.0001,0.0010,0.0461,0.0561,0.0340,0.0234,0.0325,0.0062,0.0242,0.0001,0.1949,0.2979,2547.083
59,H,Z,0.0600,0.0011,0.0003,0.0001,0.0007,0.0418,0.0172,0.0445,0.0208,0.0218,0.0021,0.0168,0.0000,0.1478,0.2294,2587.323
60,Z,H,0.0987,0.0017,0.0004,0.0001,0.0013,0.0708,0.1473,0.0398,0.0299,0.0360,0.0025,0.0242,0.0001,0.3270,0.4566,2627.794
61,H,Z,0.0620,0.0009,0.0005,0.0002,0.0008,0.0418,0.0199,0.0458,0.0226,0.0200,0.0009,0.0300,0.0002,0.1523,0.2484,2668.055
62,Z,H,0.0645,0.0013,0.0003,0.0001,0.0011,0.0450,0.0772,0.0310,0.0192,0.0333,0.0002,0.0231,0.0000,0.2078,0.2990,2708.366
63,H,Z,0.0655,0.0011,0.0007,0.0001,0.0008,0.0433,0.0199,0.0427,0.0226,0.0247,0.0088,0.0304,0.0001,0.1552,0.2638,2748.644
64,Z,H,0.0615,0.0009,0.0002,0.0001,0.0011,0.0437,0.0656,0.0278,0.0210,0.0395,0.0003,0.0144,0.0000,0.2008,0.2798,2788.934
65,H,Z,0.0833,0.0013,0.0004,0.0001,0.0010,0.0534,0.0208,0.0526,0.0322,0.0190,0.0009,0.0207,0.0002,0.1803,0.2888,2829.236
66,Z,H,0.0678,0.0016,0.0006,0.0002,0.0014,0.0475,0.0676,0.0331,0.0223,0.0337,0.0074,0.0272,0.0001,0.2069,0.3139,2869.562
67,H,Z,0.0584,0.0013,0.0004,0.0001,0.0011,0.0395,0.0175,0.0383,0.0234,0.0215,0.0003,0.0223,0.0001,0.1732,0.2578,2909.846
68,Z,H,0.0754,0.0015,0.0006,0.0002,0.0018,0.0487,0.0468,0.0304,0.0207,0.0414,0.0005,0.0299,0.0001,0.1912,0.3020,2950.162
69,H,Z,0.0613,0.0016,0.0003,0.0001,0.0008,0.0406,0.0179,0.0414,0.0205,0.0194,0.0045,0.0235,0.0001,0.1417,0.2345,2990.409
70,Z,H,0.0681,0.0016,0.0004,0.0001,0.0013,0.0467,0.0443,0.0293,0.0217,0.0347,0.0004,0.0238,0.0001,0.1791,0.2755,3030.700
71,H,Z,0.0613,0.0015,0.0006,0.0001,0.0008,0.0427,0.0182,0.0435,0.0226,0.0179,0.0046,0.0255,0.0000,0.1467,0.2416,3070.954
72,Z,H,0.0616,0.0009,0.0003,0.0001,0.0010,0.0450,0.0668,0.0295,0.0207,0.0333,0.0014,0.0217,0.0001,0.1979,0.2854,3111.252
73,H,Z,0.0630,0.0018,0.0007,0.0001,0.0010,0.0406,0.0192,0.0456,0.0232,0.0185,0.0030,0.0289,0.0001,0.1493,0.2485,3151.515
74,Z,H,0.0736,0.0019,0.0003,0.0002,0.0015,0.0454,0.0849,0.0293,0.0194,0.0480,0.0003,0.0548,0.0001,0.2297,0.3629,3191.901
75,H,Z,0.0655,0.0016,0.0005,0.0002,0.0008,0.0429,0.0206,0.0431,0.0225,0.0248,0.0027,0.0256,0.0000,0.1558,0.2536,3232.177
76,Z,H,0.0709,0.0014,0.0005,0.0001,0.0013,0.0463,0.0757,0.0342,0.0198,0.0349,0.0123,0.0279,0.0001,0.2132,0.3285,3272.519
77,H,Z,0.0671,0.0014,0.0006,0.0001,0.0009,0.0430,0.0205,0.0423,0.0249,0.0283,0.0040,0.0206,0.0001,0.1615,0.2571,3312.788
78,Z,H,0.0865,0.0016,0.0005,0.0002,0.0013,0.0490,0.0480,0.0394,0.0230,0.0424,0.0044,0.0363,0.0001,0.2050,0.3367,3353.140
79,H,Z,0.0564,0.0011,0.0002,0.0001,0.0008,0.0400,0.0176,0.0383,0.0212,0.0228,0.0064,0.0242,0.0001,0.1417,0.2314,3393.383
80,Z,H,0.0963,0.0022,0.0008,0.0005,0.0022,0.0678,0.1071,0.0502,0.0305,0.0435,0.0050,0.0332,0.0002,0.3025,0.4434,3433.840
