from_label,to_label,from_mhz,to_mhz,ms
Z14,H11,2420.000,912.500,26.627
Z14,H12,2420.000,913.500,26.728
Z14,H13,2420.000,914.500,26.940
Z14,H14,2420.000,915.500,26.762
Z14,H15,2420.000,916.500,26.781
Z14,H16,2420.000,917.500,26.808
Z14,H17,2420.000,918.500,26.883
Z14,H18,2420.000,919.500,27.031
Z14,H19,2420.000,920.500,26.783
Z14,H20,2420.000,921.500,26.745
Z14,H21,2420.000,922.500,26.729
Z14,H22,2420.000,923.500,26.736
Z14,H23,2420.000,924.500,26.938
Z14,H24,2420.000,925.500,26.804
Z14,H25,2420.000,926.500,26.768
Z14,H26,2420.000,927.500,26.800
Z15,Z11,2425.000,2405.000,5.883
Z15,Z12,2425.000,2410.000,5.857
Z15,Z13,2425.000,2415.000,5.939
Z15,Z14,2425.000,2420.000,5.770
Z15,Z15,2425.000,2425.000,5.749
Z15,Z16,2425.000,2430.000,5.879
Z15,Z17,2425.000,2435.000,5.862
Z15,Z18,2425.000,2440.000,5.849
Z15,Z19,2425.000,2445.000,5.857
Z15,Z20,2425.000,2450.000,5.780
Z15,Z21,2425.000,2455.000,5.889
Z15,Z22,2425.000,2460.000,5.886
Z15,Z23,2425.000,2465.000,6.239
Z15,Z24,2425.000,2470.000,6.276
Z15,Z25,2425.000,2475.000,6.180
Z15,Z26,2425.000,2480.000,6.040
Z15,H1,2425.000,902.500,26.984
Z15,H2,2425.000,903.500,26.799
Z15,H3,2425.000,904.500,26.783
Z15,H4,2425.000,905.500,27.072
Z15,H5,2425.000,906.500,26.856
Z15,H6,2425.000,907.500,26.813
Z15,H7,2425.000,908.500,26.753
Z15,H8,2425.000,909.500,26.807
Z15,H9,2425.000,910.500,26.829
Z15,H10,2425.000,911.500,26.905
Z15,H11,2425.000,912.500,26.629
Z15,H12,2425.000,913.500,26.788
Z15,H13,2425.000,914.500,26.723
Z15,H14,2425.000,915.500,27.239
Z15,H15,2425.000,916.500,27.056
Z15,H16,2425.000,917.500,26.948
Z15,H17,2425.000,918.500,26.759
