from_label,to_label,from_mhz,to_mhz,ms
Z14,H11,2420.000,912.500,1.251
Z14,H12,2420.000,913.500,1.295
Z14,H13,2420.000,914.500,1.242
Z14,H14,2420.000,915.500,1.392
Z14,H15,2420.000,916.500,1.279
Z14,H16,2420.000,917.500,1.263
Z14,H17,2420.000,918.500,1.272
Z14,H18,2420.000,919.500,1.261
Z14,H19,2420.000,920.500,1.190
Z14,H20,2420.000,921.500,1.278
Z14,H21,2420.000,922.500,1.236
Z14,H22,2420.000,923.500,1.222
Z14,H23,2420.000,924.500,1.315
Z14,H24,2420.000,925.500,1.468
Z14,H25,2420.000,926.500,1.261
Z14,H26,2420.000,927.500,1.206
Z15,Z11,2425.000,2405.000,1.358
Z15,Z12,2425.000,2410.000,1.326
Z15,Z13,2425.000,2415.000,1.216
Z15,Z14,2425.000,2420.000,0.337
Z15,Z15,2425.000,2425.000,0.382
Z15,Z16,2425.000,2430.000,1.480
Z15,Z17,2425.000,2435.000,1.329
Z15,Z18,2425.000,2440.000,1.271
Z15,Z19,2425.000,2445.000,1.238
Z15,Z20,2425.000,2450.000,1.163
Z15,Z21,2425.000,2455.000,1.180
Z15,Z22,2425.000,2460.000,1.154
Z15,Z23,2425.000,2465.000,1.178
Z15,Z24,2425.000,2470.000,1.208
Z15,Z25,2425.000,2475.000,1.217
Z15,Z26,2425.000,2480.000,1.286
Z15,H1,2425.000,902.500,1.452
Z15,H2,2425.000,903.500,1.219
Z15,H3,2425.000,904.500,1.246
Z15,H4,2425.000,905.500,1.261
Z15,H5,2425.000,906.500,1.280
Z15,H6,2425.000,907.500,1.183
Z15,H7,2425.000,908.500,1.175
Z15,H8,2425.000,909.500,1.285
Z15,H9,2425.000,910.500,1.232
Z15,H10,2425.000,911.500,1.208
Z15,H11,2425.000,912.500,1.238
Z15,H12,2425.000,913.500,1.173
Z15,H13,2425.000,914.500,1.167
Z15,H14,2425.000,915.500,1.198
Z15,H15,2425.000,916.500,1.171
Z15,H16,2425.000,917.500,1.204
Z15,H17,2425.000,918.500,1.182
Z15,H18,2425.000,919.500,1.205
Z15,H19,2425.000,920.500,1.192
Z15,H20,2425.000,921.500,1.240
Z15,H21,2425.000,922.500,1.283
Z15,H22,2425.000,923.500,1.297
Z15,H23,2425.000,924.500,1.227
Z15,H24,2425.000,925.500,1.351
Z15,H25,2425.000,926.500,1.201
Z15,H26,2425.000,927.500,1.266
Z16,Z11,2430.000,2405.000,1.315
Z16,Z12,2430.000,2410.000,1.317
Z16,Z13,2430.000,2415.000,1.350
Z16,Z14,2430.000,2420.000,1.258
Z16,Z15,2430.000,2425.000,0.416
Z16,Z16,2430.000,2430.000,0.403
Z16,Z17,2430.000,2435.000,1.422
Z16,Z18,2430.000,2440.000,1.291
Z16,Z19,2430.000,2445.000,1.266
Z16,Z20,2430.000,2450.000,1.274
Z16,Z21,2430.000,2455.000,1.203
Z16,Z22,2430.000,2460.000,1.221
Z16,Z23,2430.000,2465.000,1.178
Z16,Z24,2430.000,2470.000,1.222
Z16,Z25,2430.000,2475.000,1.268
Z16,Z26,2430.000,2480.000,1.178
Z16,H1,2430.000,902.500,1.200
Z16,H2,2430.000,903.500,1.195
Z16,H3,2430.000,904.500,1.248
Z16,H4,2430.000,905.500,1.331
Z16,H5,2430.000,906.500,1.192
Z16,H6,2430.000,907.500,1.358
Z16,H7,2430.000,908.500,1.273
Z16,H8,2430.000,909.500,1.415
Z16,H9,2430.000,910.500,1.232
Z16,H10,2430.000,911.500,1.244
Z16,H11,2430.000,912.500,1.242
Z16,H12,2430.000,913.500,1.225
Z16,H13,2430.000,914.500,1.425
Z16,H14,2430.000,915.500,1.334
Z16,H15,2430.000,916.500,1.265
Z16,H16,2430.000,917.500,1.385
Z16,H17,2430.000,918.500,1.328
Z16,H18,2430.000,919.500,1.344
Z16,H19,2430.000,920.500,1.248
Z16,H20,2430.000,921.500,1.478
Z16,H21,2430.000,922.500,1.269
Z16,H22,2430.000,923.500,1.337
Z16,H23,2430.000,924.500,1.188
Z16,H24,2430.000,925.500,1.195
Z16,H25,2430.000,926.500,1.292
Z16,H26,2430.000,927.500,1.319
Z17,Z11,2435.000,2405.000,1.288
Z17,Z12,2435.000,2410.000,1.341
Z17,Z13,2435.000,2415.000,1.257
Z17,Z14,2435.000,2420.000,1.194
Z17,Z15,2435.000,2425.000,1.328
Z17,Z16,2435.000,2430.000,0.387
Z17,Z17,2435.000,2435.000,0.568
Z17,Z18,2435.000,2440.000,1.257
Z17,Z19,2435.000,2445.000,1.186
Z17,Z20,2435.000,2450.000,1.168
Z17,Z21,2435.000,2455.000,1.294
Z17,Z22,2435.000,2460.000,1.183
Z17,Z23,2435.000,2465.000,1.293
Z17,Z24,2435.000,2470.000,1.194
Z17,Z25,2435.000,2475.000,1.246
Z17,Z26,2435.000,2480.000,1.198
Z17,H1,2435.000,902.500,1.294
Z17,H2,2435.000,903.500,1.393
Z17,H3,2435.000,904.500,1.293
Z17,H4,2435.000,905.500,1.274
Z17,H5,2435.000,906.500,1.314
Z17,H6,2435.000,907.500,1.387
Z17,H7,2435.000,908.500,1.327
Z17,H8,2435.000,909.500,1.324
Z17,H9,2435.000,910.500,1.313
Z17,H10,2435.000,911.500,1.343
Z17,H11,2435.000,912.500,1.366
Z17,H12,2435.000,913.500,1.268
Z17,H13,2435.000,914.500,1.298
Z17,H14,2435.000,915.500,1.399
Z17,H15,2435.000,916.500,1.252
Z17,H16,2435.000,917.500,1.259
Z17,H17,2435.000,918.500,1.363
Z17,H18,2435.000,919.500,1.331
