from_label,to_label,from_mhz,to_mhz,ms
Z14,H11,2420.000,912.500,110.902
Z14,H12,2420.000,913.500,110.911
Z14,H13,2420.000,914.500,111.444
Z14,H14,2420.000,915.500,111.798
Z14,H15,2420.000,916.500,111.062
Z14,H16,2420.000,917.500,112.237
Z14,H17,2420.000,918.500,110.699
Z14,H18,2420.000,919.500,112.351
Z14,H19,2420.000,920.500,111.789
Z14,H20,2420.000,921.500,111.842
Z14,H21,2420.000,922.500,111.819
Z14,H22,2420.000,923.500,111.719
Z14,H23,2420.000,924.500,111.602
Z14,H24,2420.000,925.500,112.198
Z14,H25,2420.000,926.500,111.337
Z14,H26,2420.000,927.500,111.373
Z15,Z11,2425.000,2405.000,10.139
Z15,Z12,2425.000,2410.000,10.048
Z15,Z13,2425.000,2415.000,10.149
Z15,Z14,2425.000,2420.000,10.126
Z15,Z15,2425.000,2425.000,10.185
Z15,Z16,2425.000,2430.000,10.164
Z15,Z17,2425.000,2435.000,10.089
Z15,Z18,2425.000,2440.000,10.063
Z15,Z19,2425.000,2445.000,9.996
Z15,Z20,2425.000,2450.000,10.139
Z15,Z21,2425.000,2455.000,10.113
Z15,Z22,2425.000,2460.000,9.869
Z15,Z23,2425.000,2465.000,10.087
Z15,Z24,2425.000,2470.000,10.189
Z15,Z25,2425.000,2475.000,10.038
Z15,Z26,2425.000,2480.000,10.137
Z15,H1,2425.000,902.500,111.740
Z15,H2,2425.000,903.500,111.025
Z15,H3,2425.000,904.500,110.948
Z15,H4,2425.000,905.500,111.621
Z15,H5,2425.000,906.500,112.191
Z15,H6,2425.000,907.500,111.610
Z15,H7,2425.000,908.500,110.649
Z15,H8,2425.000,909.500,111.623
Z15,H9,2425.000,910.500,112.400
Z15,H10,2425.000,911.500,112.394
Z15,H11,2425.000,912.500,112.888
Z15,H12,2425.000,913.500,111.552
Z15,H13,2425.000,914.500,111.795
Z15,H14,2425.000,915.500,112.112
Z15,H15,2425.000,916.500,113.096
Z15,H16,2425.000,917.500,111.817
Z15,H17,2425.000,918.500,110.710
Z15,H18,2425.000,919.500,111.933
Z15,H19,2425.000,920.500,112.102
Z15,H20,2425.000,921.500,111.571
Z15,H21,2425.000,922.500,112.722
Z15,H22,2425.000,923.500,111.929
Z15,H23,2425.000,924.500,111.407
Z15,H24,2425.000,925.500,112.827
Z15,H25,2425.000,926.500,111.651
Z15,H26,2425.000,927.500,111.876
Z16,Z11,2430.000,2405.000,10.084
Z16,Z12,2430.000,2410.000,10.213
Z16,Z13,2430.000,2415.000,9.878
Z16,Z14,2430.000,2420.000,9.882
Z16,Z15,2430.000,2425.000,9.863
Z16,Z16,2430.000,2430.000,1.950
Z16,Z17,2430.000,2435.000,9.990
Z16,Z18,2430.000,2440.000,10.114
Z16,Z19,2430.000,2445.000,10.185
Z16,Z20,2430.000,2450.000,10.091
Z16,Z21,2430.000,2455.000,9.883
Z16,Z22,2430.000,2460.000,10.072
Z16,Z23,2430.000,2465.000,10.246
Z16,Z24,2430.000,2470.000,10.139
Z16,Z25,2430.000,2475.000,9.945
Z16,Z26,2430.000,2480.000,10.101
Z16,H1,2430.000,902.500,112.013
Z16,H2,2430.000,903.500,111.808
Z16,H3,2430.000,904.500,111.371
Z16,H4,2430.000,905.500,111.278
Z16,H5,2430.000,906.500,112.444
Z16,H6,2430.000,907.500,109.244
Z16,H7,2430.000,908.500,112.358
Z16,H8,2430.000,909.500,112.826
Z16,H9,2430.000,910.500,112.509
Z16,H10,2430.000,911.500,110.377
Z16,H11,2430.000,912.500,110.702
Z16,H12,2430.000,913.500,111.054
Z16,H13,2430.000,914.500,112.002
Z16,H14,2430.000,915.500,112.142
Z16,H15,2430.000,916.500,112.092
Z16,H16,2430.000,917.500,110.950
Z16,H17,2430.000,918.500,110.471
Z16,H18,2430.000,919.500,111.646
Z16,H19,2430.000,920.500,110.320
Z16,H20,2430.000,921.500,110.327
Z16,H21,2430.000,922.500,110.891
Z16,H22,2430.000,923.500,109.790
Z16,H23,2430.000,924.500,111.279
Z16,H24,2430.000,925.500,111.390
Z16,H25,2430.000,926.500,110.647
Z16,H26,2430.000,927.500,111.675
Z17,Z11,2435.000,2405.000,10.121
Z17,Z12,2435.000,2410.000,10.045
Z17,Z13,2435.000,2415.000,10.118
Z17,Z14,2435.000,2420.000,10.160
Z17,Z15,2435.000,2425.000,10.076
Z17,Z16,2435.000,2430.000,10.227
Z17,Z17,2435.000,2435.000,2.045
Z17,Z18,2435.000,2440.000,9.891
Z17,Z19,2435.000,2445.000,10.356
Z17,Z20,2435.000,2450.000,10.128
Z17,Z21,2435.000,2455.000,10.748
Z17,Z22,2435.000,2460.000,9.883
Z17,Z23,2435.000,2465.000,10.227
Z17,Z24,2435.000,2470.000,10.059
Z17,Z25,2435.000,2475.000,9.851
Z17,Z26,2435.000,2480.000,10.395
Z17,H1,2435.000,902.500,112.138
Z17,H2,2435.000,903.500,112.028
Z17,H3,2435.000,904.500,110.582
Z17,H4,2435.000,905.500,112.308
Z17,H5,2435.000,906.500,111.251
Z17,H6,2435.000,907.500,112.261
Z17,H7,2435.000,908.500,111.824
Z17,H8,2435.000,909.500,111.582
Z17,H9,2435.000,910.500,111.387
Z17,H10,2435.000,911.500,112.623
Z17,H11,2435.000,912.500,111.866
Z17,H12,2435.000,913.500,111.980
Z17,H13,2435.000,914.500,111.381
Z17,H14,2435.000,915.500,111.641
Z17,H15,2435.000,916.500,111.080
Z17,H16,2435.000,917.500,111.573
Z17,H17,2435.000,918.500,111.442
Z17,H18,2435.000,919.500,112.433
Z17,H19,2435.000,920.500,112.079
Z17,H20,2435.000,921.500,111.917
Z17,H21,2435.000,922.500,111.770
Z17,H22,2435.000,923.500,111.794
Z17,H23,2435.000,924.500,111.840
Z17,H24,2435.000,925.500,111.574
Z17,H25,2435.000,926.500,111.722
Z17,H26,2435.000,927.500,111.722
Z18,Z11,2440.000,2405.000,10.056
Z18,Z12,2440.000,2410.000,10.035
Z18,Z13,2440.000,2415.000,10.113
Z18,Z14,2440.000,2420.000,10.258
Z18,Z15,2440.000,2425.000,9.892
Z18,Z16,2440.000,2430.000,9.893
Z18,Z17,2440.000,2435.000,9.873
Z18,Z18,2440.000,2440.000,9.902
Z18,Z19,2440.000,2445.000,10.244
Z18,Z20,2440.000,2450.000,10.218
Z18,Z21,2440.000,2455.000,10.059
Z18,Z22,2440.000,2460.000,10.123
Z18,Z23,2440.000,2465.000,9.887
Z18,Z24,2440.000,2470.000,9.923
Z18,Z25,2440.000,2475.000,10.133
Z18,Z26,2440.000,2480.000,10.448
Z18,H1,2440.000,902.500,112.372
Z18,H2,2440.000,903.500,112.537
Z18,H3,2440.000,904.500,112.448
Z18,H4,2440.000,905.500,111.415
Z18,H5,2440.000,906.500,111.721
Z18,H6,2440.000,907.500,111.985
Z18,H7,2440.000,908.500,112.542
Z18,H8,2440.000,909.500,111.828
Z18,H9,2440.000,910.500,112.151
Z18,H10,2440.000,911.500,111.594
Z18,H11,2440.000,912.500,110.987
Z18,H12,2440.000,913.500,111.798
Z18,H13,2440.000,914.500,110.967
Z18,H14,2440.000,915.500,112.006
Z18,H15,2440.000,916.500,112.465
Z18,H16,2440.000,917.500,111.651
Z18,H17,2440.000,918.500,112.108
Z18,H18,2440.000,919.500,112.102
Z18,H19,2440.000,920.500,112.192
Z18,H20,2440.000,921.500,111.914
Z18,H21,2440.000,922.500,111.551
Z18,H22,2440.000,923.500,112.208
Z18,H23,2440.000,924.500,112.163
Z18,H24,2440.000,925.500,112.163
Z18,H25,2440.000,926.500,111.208
Z18,H26,2440.000,927.500,111.605
Z19,Z11,2445.000,2405.000,10.155
Z19,Z12,2445.000,2410.000,10.128
Z19,Z13,2445.000,2415.000,9.880
Z19,Z14,2445.000,2420.000,9.862
Z19,Z15,2445.000,2425.000,10.197
Z19,Z16,2445.000,2430.000,10.088
Z19,Z17,2445.000,2435.000,9.871
Z19,Z18,2445.000,2440.000,9.873
Z19,Z19,2445.000,2445.000,1.959
Z19,Z20,2445.000,2450.000,9.865
Z19,Z21,2445.000,2455.000,10.145
Z19,Z22,2445.000,2460.000,9.865
Z19,Z23,2445.000,2465.000,9.893
Z19,Z24,2445.000,2470.000,9.873
Z19,Z25,2445.000,2475.000,9.904
Z19,Z26,2445.000,2480.000,9.895
Z19,H1,2445.000,902.500,111.969
Z19,H2,2445.000,903.500,111.797
Z19,H3,2445.000,904.500,111.614
Z19,H4,2445.000,905.500,110.986
Z19,H5,2445.000,906.500,112.311
Z19,H6,2445.000,907.500,111.563
Z19,H7,2445.000,908.500,111.788
Z19,H8,2445.000,909.500,111.760
Z19,H9,2445.000,910.500,112.309
Z19,H10,2445.000,911.500,111.455
Z19,H11,2445.000,912.500,110.158
Z19,H12,2445.000,913.500,111.375
Z19,H13,2445.000,914.500,112.467
Z19,H14,2445.000,915.500,112.121
Z19,H15,2445.000,916.500,111.517
Z19,H16,2445.000,917.500,111.759
Z19,H17,2445.000,918.500,112.028
