swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.0573,0.0009,0.0002,0.0001,0.0004,0.0398,0.0135,0.0427,0.0193,0.0216,0.0005,0.0286,0.0000,0.1391,0.2277,2011.671
36,Z,H,0.0515,0.0006,0.0002,0.0001,0.0005,0.0392,0.0103,0.0408,0.0202,0.0178,0.0019,0.0195,0.0001,0.1302,0.2051,2061.889
37,H,Z,0.0662,0.0011,0.0002,0.0000,0.0009,0.0434,0.0151,0.0458,0.0236,0.0244,0.0069,0.0289,0.0000,0.1543,0.2590,2112.163
38,Z,H,0.0547,0.0007,0.0002,0.0001,0.0005,0.0402,0.0116,0.0380,0.0188,0.0149,0.0066,0.0196,0.0001,0.1255,0.2084,2162.382
39,H,Z,0.0785,0.0015,0.0002,0.0001,0.0008,0.0635,0.0178,0.0703,0.0387,0.0198,0.0025,0.0226,0.0000,0.2123,0.3193,2212.718
40,Z,H,0.0678,0.0008,0.0002,0.0001,0.0008,0.0450,0.0143,0.0480,0.0219,0.0186,0.0041,0.0164,0.0001,0.1501,0.2408,2262.969
41,H,Z,0.0726,0.0009,0.0002,0.0001,0.0009,0.0666,0.0138,0.0400,0.0188,0.0155,0.0085,0.0176,0.0001,0.1572,0.2586,2313.239
42,Z,H,0.0585,0.0012,0.0002,0.0001,0.0004,0.0403,0.0132,0.0458,0.0170,0.0146,0.0021,0.0196,0.0001,0.1328,0.2155,2363.466
43,H,Z,0.0597,0.0008,0.0002,0.0001,0.0006,0.0396,0.0133,0.0449,0.0206,0.0234,0.0003,0.0222,0.0001,0.1439,0.2285,2413.706
44,Z,H,0.0603,0.0007,0.0002,0.0001,0.0005,0.0411,0.0122,0.0382,0.0203,0.0188,0.0005,0.0246,0.0000,0.1329,0.2202,2463.939
45,H,Z,0.0735,0.0012,0.0003,0.0001,0.0007,0.0656,0.0159,0.0744,0.0390,0.0166,0.0003,0.0218,0.0001,0.2138,0.3125,2514.264
46,Z,H,0.0643,0.0012,0.0002,0.0001,0.0007,0.0498,0.0155,0.0572,0.0194,0.0212,0.0027,0.0215,0.0001,0.1655,0.2569,2564.533
47,H,Z,0.0709,0.0007,0.0002,0.0002,0.0005,0.0648,0.0147,0.0503,0.0309,0.0225,0.0005,0.0254,0.0000,0.1855,0.2844,2614.829
48,Z,H,0.0587,0.0008,0.0002,0.0001,0.0005,0.0400,0.0121,0.0470,0.0197,0.0203,0.0006,0.0200,0.0000,0.1412,0.2225,2665.064
49,H,Z,0.0653,0.0006,0.0002,0.0002,0.0006,0.0420,0.0132,0.0387,0.0192,0.0162,0.0007,0.0213,0.0001,0.1314,0.2208,2715.295
50,Z,H,0.0781,0.0013,0.0002,0.0001,0.0007,0.0561,0.0155,0.0689,0.0390,0.0191,0.0004,0.0184,0.0001,0.2011,0.3010,2765.611
51,H,Z,0.0821,0.0014,0.0002,0.0001,0.0010,0.0548,0.0159,0.0759,0.0383,0.0214,0.0067,0.0176,0.0000,0.2082,0.3180,2815.939
52,Z,H,0.0564,0.0007,0.0002,0.0001,0.0005,0.0445,0.0126,0.0406,0.0235,0.0139,0.0003,0.0202,0.0001,0.1370,0.2159,2866.166
53,H,Z,0.0491,0.0006,0.0002,0.0001,0.0003,0.0391,0.0106,0.0371,0.0209,0.0239,0.0004,0.0181,0.0000,0.1337,0.2029,2916.377
54,Z,H,0.0761,0.0014,0.0005,0.0001,0.0008,0.0548,0.0199,0.0556,0.0237,0.0241,0.0006,0.0311,0.0001,0.1808,0.2924,2966.682
55,H,Z,0.0662,0.0007,0.0002,0.0002,0.0006,0.0460,0.0139,0.0457,0.0213,0.0189,0.0002,0.0196,0.0000,0.1474,0.2355,3016.927
56,Z,H,0.0703,0.0007,0.0002,0.0000,0.0044,0.0391,0.0118,0.0374,0.0201,0.0140,0.0016,0.0182,0.0000,0.1241,0.2202,3067.165
57,H,Z,0.0626,0.0006,0.0002,0.0001,0.0006,0.0415,0.0134,0.0443,0.0171,0.0174,0.0002,0.0188,0.0000,0.1356,0.2192,3117.393
58,Z,H,0.0525,0.0007,0.0002,0.0001,0.0005,0.0394,0.0109,0.0395,0.0194,0.0206,0.0003,0.0205,0.0000,0.1319,0.2072,3167.614
59,H,Z,0.0845,0.0010,0.0002,0.0001,0.0009,0.0713,0.0268,0.0587,0.0283,0.0209,0.0007,0.0305,0.0001,0.2093,0.3283,3217.957
60,Z,H,0.0869,0.0018,0.0004,0.0002,0.0011,0.0581,0.0201,0.0785,0.0393,0.0187,0.0014,0.0148,0.0001,0.2172,0.3248,3268.294
61,H,Z,0.0614,0.0010,0.0005,0.0001,0.0005,0.0450,0.0135,0.0388,0.0190,0.0190,0.0004,0.0239,0.0001,0.1376,0.2260,3318.535
62,Z,H,0.0687,0.0014,0.0005,0.0003,0.0008,0.0521,0.0184,0.0457,0.0247,0.0192,0.0044,0.0243,0.0000,0.1621,0.2634,3368.809
63,H,Z,0.0708,0.0017,0.0006,0.0002,0.0008,0.0519,0.0176,0.0539,0.0210,0.0206,0.0003,0.0240,0.0000,0.1670,0.2661,3419.087
64,Z,H,0.0666,0.0008,0.0002,0.0002,0.0008,0.0443,0.0161,0.0495,0.0191,0.0185,0.0004,0.0220,0.0001,0.1492,0.2408,3469.346
65,H,Z,0.0771,0.0009,0.0002,0.0001,0.0011,0.0542,0.0168,0.0537,0.0287,0.0191,0.0006,0.0310,0.0000,0.1753,0.2872,3519.652
