from_label,to_label,from_mhz,to_mhz,ms
H0,H0,902.500,902.500,0.414
H0,Z1,902.500,2405.000,1.226
H0,H2,902.500,903.000,1.414
H0,Z3,902.500,2407.000,1.442
H0,H4,902.500,903.500,1.294
H0,Z5,902.500,2409.000,1.299
H0,H6,902.500,904.000,1.269
H0,Z7,902.500,2411.000,1.276
H0,H8,902.500,904.500,1.188
H0,Z9,902.500,2413.000,1.278
H0,H10,902.500,905.000,1.482
H0,Z11,902.500,2415.000,1.365
H0,H12,902.500,905.500,1.253
H0,Z13,902.500,2417.000,1.207
H0,H14,902.500,906.000,1.384
H0,Z15,902.500,2419.000,1.308
Z1,H0,2405.000,902.500,0.542
Z1,Z1,2405.000,2405.000,0.488
Z1,H2,2405.000,903.000,1.262
Z1,Z3,2405.000,2407.000,1.295
Z1,H4,2405.000,903.500,1.268
Z1,Z5,2405.000,2409.000,1.325
Z1,H6,2405.000,904.000,1.193
Z1,Z7,2405.000,2411.000,1.229
Z1,H8,2405.000,904.500,1.231
Z1,Z9,2405.000,2413.000,1.252
Z1,H10,2405.000,905.000,1.185
Z1,Z11,2405.000,2415.000,1.249
Z1,H12,2405.000,905.500,1.230
Z1,Z13,2405.000,2417.000,1.359
Z1,H14,2405.000,906.000,1.197
Z1,Z15,2405.000,2419.000,1.276
H2,H0,903.000,902.500,1.231
H2,Z1,903.000,2405.000,0.435
H2,H2,903.000,903.000,0.452
H2,Z3,903.000,2407.000,1.331
H2,H4,903.000,903.500,1.299
H2,Z5,903.000,2409.000,1.455
H2,H6,903.000,904.000,1.425
H2,Z7,903.000,2411.000,1.426
H2,H8,903.000,904.500,1.354
H2,Z9,903.000,2413.000,1.268
H2,H10,903.000,905.000,1.316
H2,Z11,903.000,2415.000,1.278
H2,H12,903.000,905.500,1.218
H2,Z13,903.000,2417.000,1.245
H2,H14,903.000,906.000,1.277
H2,Z15,903.000,2419.000,1.301
Z3,H0,2407.000,902.500,1.381
Z3,Z1,2407.000,2405.000,1.446
Z3,H2,2407.000,903.000,0.581
Z3,Z3,2407.000,2407.000,0.524
Z3,H4,2407.000,903.500,1.335
Z3,Z5,2407.000,2409.000,1.277
Z3,H6,2407.000,904.000,1.254
Z3,Z7,2407.000,2411.000,1.315
Z3,H8,2407.000,904.500,1.219
Z3,Z9,2407.000,2413.000,1.243
Z3,H10,2407.000,905.000,1.285
Z3,Z11,2407.000,2415.000,1.283
Z3,H12,2407.000,905.500,1.267
Z3,Z13,2407.000,2417.000,1.210
Z3,H14,2407.000,906.000,1.258
Z3,Z15,2407.000,2419.000,1.313
H4,H0,903.500,902.500,1.236
H4,Z1,903.500,2405.000,1.359
H4,H2,903.500,903.000,1.270
H4,Z3,903.500,2407.000,0.329
H4,H4,903.500,903.500,0.378
H4,Z5,903.500,2409.000,1.201
H4,H6,903.500,904.000,1.220
H4,Z7,903.500,2411.000,1.319
H4,H8,903.500,904.500,1.344
H4,Z9,903.500,2413.000,1.361
H4,H10,903.500,905.000,1.384
H4,Z11,903.500,2415.000,1.223
H4,H12,903.500,905.500,1.287
H4,Z13,903.500,2417.000,1.224
H4,H14,903.500,906.000,1.266
H4,Z15,903.500,2419.000,1.272
Z5,H0,2409.000,902.500,1.453
Z5,Z1,2409.000,2405.000,1.263
Z5,H2,2409.000,903.000,1.388
Z5,Z3,2409.000,2407.000,1.263
Z5,H4,2409.000,903.500,0.358
Z5,Z5,2409.000,2409.000,0.317
Z5,H6,2409.000,904.000,1.304
Z5,Z7,2409.000,2411.000,1.352
Z5,H8,2409.000,904.500,1.294
Z5,Z9,2409.000,2413.000,1.231
Z5,H10,2409.000,905.000,1.190
Z5,Z11,2409.000,2415.000,1.166
Z5,H12,2409.000,905.500,1.179
Z5,Z13,2409.000,2417.000,1.175
Z5,H14,2409.000,906.000,1.172
Z5,Z15,2409.000,2419.000,1.159
H6,H0,904.000,902.500,1.228
H6,Z1,904.000,2405.000,1.203
H6,H2,904.000,903.000,1.207
H6,Z3,904.000,2407.000,1.212
H6,H4,904.000,903.500,1.263
H6,Z5,904.000,2409.000,0.341
H6,H6,904.000,904.000,0.305
H6,Z7,904.000,2411.000,1.232
H6,H8,904.000,904.500,1.222
H6,Z9,904.000,2413.000,1.260
H6,H10,904.000,905.000,1.245
H6,Z11,904.000,2415.000,1.260
H6,H12,904.000,905.500,1.281
H6,Z13,904.000,2417.000,1.250
H6,H14,904.000,906.000,1.185
H6,Z15,904.000,2419.000,1.194
Z7,H0,2411.000,902.500,1.165
Z7,Z1,2411.000,2405.000,1.222
Z7,H2,2411.000,903.000,1.164
Z7,Z3,2411.000,2407.000,1.181
