from_label,to_label,from_mhz,to_mhz,ms
H0,H0,902.500,902.500,0.310
H0,Z1,902.500,2405.000,0.360
H0,H2,902.500,903.000,0.518
H0,Z3,902.500,2407.000,0.418
H0,H4,902.500,903.500,0.308
H0,Z5,902.500,2409.000,0.332
H0,H6,902.500,904.000,0.456
H0,Z7,902.500,2411.000,0.352
Z1,H0,2405.000,902.500,0.382
Z1,Z1,2405.000,2405.000,0.408
Z1,H2,2405.000,903.000,0.376
Z1,Z3,2405.000,2407.000,0.347
Z1,H4,2405.000,903.500,0.298
Z1,Z5,2405.000,2409.000,0.349
Z1,H6,2405.000,904.000,0.319
Z1,Z7,2405.000,2411.000,0.385
H2,H0,903.000,902.500,0.430
H2,Z1,903.000,2405.000,0.404
H2,H2,903.000,903.000,0.394
H2,Z3,903.000,2407.000,0.297
H2,H4,903.000,903.500,0.342
H2,Z5,903.000,2409.000,0.406
H2,H6,903.000,904.000,0.499
H2,Z7,903.000,2411.000,0.475
Z3,H0,2407.000,902.500,0.438
Z3,Z1,2407.000,2405.000,0.357
Z3,H2,2407.000,903.000,0.484
Z3,Z3,2407.000,2407.000,0.338
Z3,H4,2407.000,903.500,0.407
Z3,Z5,2407.000,2409.000,0.447
Z3,H6,2407.000,904.000,0.547
Z3,Z7,2407.000,2411.000,0.336
H4,H0,903.500,902.500,0.365
H4,Z1,903.500,2405.000,0.379
H4,H2,903.500,903.000,0.443
H4,Z3,903.500,2407.000,0.355
H4,H4,903.500,903.500,0.362
H4,Z5,903.500,2409.000,0.473
H4,H6,903.500,904.000,0.477
H4,Z7,903.500,2411.000,0.479
Z5,H0,2409.000,902.500,0.514
Z5,Z1,2409.000,2405.000,0.494
Z5,H2,2409.000,903.000,0.352
Z5,Z3,2409.000,2407.000,0.344
Z5,H4,2409.000,903.500,0.392
Z5,Z5,2409.000,2409.000,0.419
Z5,H6,2409.000,904.000,0.496
Z5,Z7,2409.000,2411.000,0.348
H6,H0,904.000,902.500,0.480
H6,Z1,904.000,2405.000,0.304
H6,H2,904.000,903.000,0.376
H6,Z3,904.000,2407.000,0.315
H6,H4,904.000,903.500,0.317
H6,Z5,904.000,2409.000,0.358
H6,H6,904.000,904.000,0.292
H6,Z7,904.000,2411.000,0.416
Z7,H0,2411.000,902.500,0.377
Z7,Z1,2411.000,2405.000,0.416
Z7,H2,2411.000,903.000,0.327
Z7,Z3,2411.000,2407.000,0.306
Z7,H4,2411.000,903.500,0.306
Z7,Z5,2411.000,2409.000,0.413
Z7,H6,2411.000,904.000,0.366
Z7,Z7,2411.000,2411.000,0.391
