swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.1294,0.0020,0.0006,0.0001,0.0011,0.0906,0.0371,0.1010,0.0485,0.0553,0.0252,0.0418,0.0001,0.3365,0.5380,2046.002
36,Z,H,0.2788,0.0024,0.0006,0.0002,0.0027,0.1810,0.5794,0.2665,0.0357,0.1175,0.0066,0.0336,0.0001,1.1887,1.5151,2097.570
37,H,Z,0.1322,0.0019,0.0005,0.0001,0.0014,0.0956,0.0417,0.0985,0.0434,0.0367,0.0062,0.0322,0.0001,0.3204,0.4961,2148.107
38,Z,H,0.2983,0.0045,0.0010,0.0004,0.0039,0.2304,0.8002,0.5351,0.1011,0.1160,0.0010,0.0438,0.0003,1.7932,2.1483,2200.303
39,H,Z,0.2044,0.0047,0.0009,0.0005,0.0030,0.1416,0.0511,0.2079,0.0977,0.0608,0.0010,0.0396,0.0002,0.5666,0.8228,2251.183
40,Z,H,0.4105,0.0051,0.0015,0.0003,0.0047,0.2725,1.0835,0.5726,0.0919,0.1223,0.0010,0.0797,0.0003,2.1560,2.6613,2303.888
41,H,Z,0.1984,0.0039,0.0014,0.0006,0.0027,0.1262,0.0479,0.1350,0.0657,0.0680,0.0008,0.0412,0.0004,0.4490,0.7001,2354.637
42,Z,H,0.2154,0.0025,0.0008,0.0002,0.0022,0.1492,0.3721,0.2513,0.0370,0.1186,0.0015,0.0775,0.0003,0.9382,1.2400,2405.923
43,H,Z,0.1966,0.0033,0.0012,0.0008,0.0022,0.1158,0.0439,0.1150,0.0522,0.0574,0.0006,0.0469,0.0001,0.3886,0.6421,2456.593
44,Z,H,0.3105,0.0027,0.0008,0.0002,0.0029,0.1873,0.4984,0.3116,0.0416,0.0950,0.0008,0.0424,0.0001,1.1413,1.5036,2508.130
45,H,Z,0.2148,0.0047,0.0011,0.0005,0.0029,0.1502,0.0536,0.2031,0.1374,0.0557,0.0010,0.0646,0.0003,0.6072,0.8990,2559.111
46,Z,H,0.2040,0.0033,0.0009,0.0005,0.0024,0.1615,0.4563,0.2406,0.0369,0.1259,0.0005,0.0404,0.0001,1.0281,1.2817,2610.434
47,H,Z,0.1404,0.0025,0.0010,0.0003,0.0017,0.0958,0.0454,0.1271,0.0470,0.0689,0.0233,0.0519,0.0001,0.3887,0.6113,2661.080
48,Z,H,0.2871,0.0039,0.0009,0.0003,0.0039,0.2304,0.8435,0.5348,0.0846,0.1078,0.0010,0.0360,0.0002,1.8106,2.1459,2713.259
49,H,Z,0.1438,0.0029,0.0008,0.0002,0.0015,0.0948,0.0354,0.0985,0.0467,0.0504,0.0005,0.0493,0.0001,0.3304,0.5308,2763.815
50,Z,H,0.2724,0.0031,0.0009,0.0004,0.0036,0.2035,0.5402,0.3132,0.0502,0.1207,0.0010,0.0341,0.0002,1.2367,1.5540,2815.424
51,H,Z,0.1390,0.0022,0.0011,0.0003,0.0015,0.0932,0.0356,0.1039,0.0431,0.0456,0.0081,0.0362,0.0002,0.3262,0.5161,2866.029
52,Z,H,0.2915,0.0038,0.0010,0.0003,0.0036,0.2248,0.8270,0.5065,0.0802,0.1074,0.0045,0.0359,0.0002,1.7553,2.0978,2918.164
53,H,Z,0.1934,0.0034,0.0011,0.0003,0.0026,0.1390,0.0411,0.1103,0.0458,0.0611,0.0008,0.0503,0.0002,0.4034,0.6572,2968.856
54,Z,H,0.1962,0.0021,0.0007,0.0002,0.0023,0.1630,0.4495,0.2558,0.0345,0.1012,0.0008,0.0386,0.0001,1.0104,1.2525,3020.135
55,H,Z,0.1357,0.0022,0.0007,0.0001,0.0015,0.0963,0.0380,0.0973,0.0444,0.0675,0.0014,0.0581,0.0002,0.3490,0.5505,3070.722
56,Z,H,0.1929,0.0019,0.0006,0.0001,0.0024,0.1453,0.3790,0.2348,0.0385,0.1069,0.0009,0.0337,0.0001,0.9119,1.1459,3121.900
57,H,Z,0.1384,0.0026,0.0007,0.0004,0.0015,0.0950,0.0402,0.1017,0.0441,0.0643,0.0053,0.0516,0.0001,0.3502,0.5520,3172.513
58,Z,H,0.2017,0.0030,0.0008,0.0003,0.0023,0.1523,0.4485,0.2372,0.0368,0.1599,0.0086,0.0667,0.0003,1.0440,1.3291,3223.902
59,H,Z,0.1315,0.0020,0.0006,0.0001,0.0015,0.0943,0.0324,0.0913,0.0430,0.0623,0.0008,0.0341,0.0001,0.3285,0.5003,3274.442
60,Z,H,0.1987,0.0032,0.0007,0.0002,0.0023,0.1551,0.3744,0.2696,0.0370,0.1042,0.0042,0.0489,0.0001,0.9474,1.2068,3325.688
61,H,Z,0.2032,0.0044,0.0010,0.0003,0.0029,0.1461,0.0490,0.1830,0.1013,0.0908,0.0007,0.0499,0.0002,0.5761,0.8402,3376.558
62,Z,H,0.2616,0.0025,0.0008,0.0003,0.0079,0.2204,0.4956,0.2525,0.0493,0.0967,0.0153,0.0551,0.0003,1.1220,1.4671,3428.063
63,H,Z,0.1764,0.0032,0.0009,0.0003,0.0020,0.1008,0.0439,0.1043,0.0472,0.0780,0.0016,0.0612,0.0002,0.3821,0.6299,3478.727
64,Z,H,0.2049,0.0035,0.0011,0.0001,0.0028,0.1671,0.4560,0.2471,0.0474,0.1451,0.0005,0.0483,0.0001,1.0697,1.3325,3530.090
65,H,Z,0.1434,0.0026,0.0008,0.0003,0.0015,0.0929,0.0373,0.1007,0.0469,0.0800,0.0170,0.0660,0.0002,0.3642,0.5974,3580.743
66,Z,H,0.2529,0.0028,0.0008,0.0003,0.0025,0.1740,0.5903,0.2400,0.0388,0.1085,0.0046,0.0551,0.0003,1.1599,1.4806,3632.338
