swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.1290,0.0027,0.0008,0.0003,0.0015,0.0924,0.0388,0.0873,0.0490,0.0503,0.0072,0.0484,0.0001,0.3223,0.5137,2029.593
36,Z,H,0.2386,0.0044,0.0010,0.0003,0.0040,0.1658,0.1737,0.1167,0.0922,0.0882,0.0009,0.0386,0.0002,0.6439,0.9336,2080.569
37,H,Z,0.1379,0.0025,0.0007,0.0002,0.0016,0.1004,0.0361,0.0940,0.0429,0.0463,0.0044,0.0476,0.0002,0.3251,0.5213,2131.123
38,Z,H,0.1460,0.0024,0.0005,0.0002,0.0018,0.1046,0.1255,0.0589,0.0368,0.0735,0.0020,0.0346,0.0001,0.4052,0.5939,2181.745
39,H,Z,0.1337,0.0024,0.0006,0.0002,0.0014,0.0915,0.0331,0.0931,0.0409,0.0565,0.0004,0.0462,0.0001,0.3192,0.5056,2232.292
40,Z,H,0.1427,0.0024,0.0007,0.0001,0.0018,0.1109,0.1401,0.0664,0.0490,0.0833,0.0008,0.0447,0.0002,0.4557,0.6501,2282.974
41,H,Z,0.1403,0.0022,0.0005,0.0002,0.0011,0.0885,0.0319,0.0883,0.0437,0.0414,0.0007,0.0321,0.0001,0.2981,0.4764,2333.472
42,Z,H,0.1519,0.0030,0.0007,0.0002,0.0018,0.1032,0.1428,0.0703,0.0403,0.0754,0.0058,0.0472,0.0002,0.4371,0.6492,2384.152
43,H,Z,0.2116,0.0037,0.0008,0.0003,0.0022,0.1391,0.0445,0.1766,0.1160,0.0553,0.0012,0.0542,0.0002,0.5382,0.8140,2435.003
44,Z,H,0.1492,0.0027,0.0009,0.0001,0.0018,0.1129,0.1226,0.0712,0.0416,0.0855,0.0007,0.0415,0.0002,0.4397,0.6382,2485.677
45,H,Z,0.1906,0.0033,0.0007,0.0003,0.0023,0.1398,0.0425,0.1719,0.1030,0.0494,0.0149,0.0429,0.0002,0.5112,0.7677,2536.472
46,Z,H,0.1426,0.0021,0.0007,0.0001,0.0016,0.1071,0.1436,0.0658,0.0433,0.0731,0.0076,0.0410,0.0002,0.4377,0.6348,2587.132
47,H,Z,0.1261,0.0022,0.0006,0.0001,0.0014,0.0958,0.0393,0.1059,0.0426,0.0501,0.0025,0.0464,0.0002,0.3384,0.5191,2637.683
48,Z,H,0.3446,0.0043,0.0007,0.0002,0.0026,0.1836,0.1660,0.1088,0.0519,0.0702,0.0008,0.0458,0.0002,0.5871,0.9878,2688.701
49,H,Z,0.1399,0.0033,0.0008,0.0003,0.0020,0.0944,0.0394,0.1027,0.0453,0.0522,0.0033,0.0558,0.0002,0.3396,0.5467,2739.380
50,Z,H,0.2023,0.0032,0.0010,0.0004,0.0025,0.1203,0.1508,0.0772,0.0414,0.0834,0.0008,0.0497,0.0002,0.4795,0.7414,2790.160
51,H,Z,0.1309,0.0022,0.0007,0.0002,0.0016,0.0952,0.0389,0.0993,0.0482,0.0538,0.0008,0.0478,0.0002,0.3407,0.5264,2840.718
52,Z,H,0.1810,0.0027,0.0006,0.0002,0.0021,0.1266,0.2414,0.0695,0.0405,0.1023,0.0008,0.0420,0.0002,0.5860,0.8174,2891.565
