swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
35,H,Z,0.1097,0.0026,0.0006,0.0002,0.0016,0.0705,0.0303,0.1036,0.0483,0.0412,0.0079,0.0336,0.0001,0.2984,0.4559,2026.212
36,Z,H,0.1250,0.0018,0.0006,0.0003,0.0018,0.0827,0.3131,0.1564,0.0267,0.1214,0.0018,0.0423,0.0001,0.7105,0.8857,2077.122
37,H,Z,0.0789,0.0017,0.0005,0.0002,0.0012,0.0511,0.0235,0.0601,0.0211,0.0370,0.0127,0.0259,0.0001,0.1957,0.3178,2127.460
38,Z,H,0.1171,0.0020,0.0006,0.0003,0.0018,0.0897,0.2586,0.1480,0.0221,0.0679,0.0005,0.0279,0.0001,0.5916,0.7431,2178.229
39,H,Z,0.0835,0.0014,0.0008,0.0003,0.0012,0.0524,0.0226,0.0605,0.0215,0.0327,0.0008,0.0395,0.0001,0.1925,0.3210,2228.570
40,Z,H,0.1497,0.0017,0.0007,0.0003,0.0018,0.0933,0.2513,0.1825,0.0277,0.0572,0.0024,0.0237,0.0001,0.6173,0.7988,2279.387
41,H,Z,0.0840,0.0017,0.0006,0.0003,0.0012,0.0500,0.0264,0.0576,0.0221,0.0276,0.0036,0.0332,0.0001,0.1870,0.3126,2329.723
42,Z,H,0.1238,0.0015,0.0005,0.0002,0.0013,0.0852,0.3471,0.1417,0.0214,0.0735,0.0026,0.0273,0.0001,0.6744,0.8327,2380.584
43,H,Z,0.0818,0.0014,0.0006,0.0002,0.0012,0.0491,0.0250,0.0569,0.0217,0.0278,0.0116,0.0232,0.0001,0.1836,0.3048,2430.905
44,Z,H,0.1539,0.0025,0.0005,0.0003,0.0032,0.1127,0.4103,0.2533,0.0462,0.0656,0.0083,0.0247,0.0002,0.8931,1.0875,2482.016
45,H,Z,0.1141,0.0018,0.0008,0.0005,0.0014,0.1050,0.0321,0.1061,0.0422,0.0625,0.0008,0.0443,0.0003,0.3514,0.5165,2532.554
46,Z,H,0.1469,0.0020,0.0005,0.0002,0.0017,0.1145,0.2584,0.1991,0.0328,0.0587,0.0004,0.0280,0.0001,0.6679,0.8489,2583.424
47,H,Z,0.1073,0.0024,0.0005,0.0002,0.0015,0.0696,0.0281,0.0922,0.0425,0.0393,0.0005,0.0293,0.0001,0.2747,0.4180,2633.863
48,Z,H,0.1386,0.0019,0.0006,0.0003,0.0026,0.1093,0.4069,0.2414,0.0409,0.0733,0.0016,0.0281,0.0001,0.8786,1.0537,2684.936
49,H,Z,0.0828,0.0016,0.0005,0.0002,0.0011,0.0524,0.0250,0.0609,0.0213,0.0292,0.0009,0.0367,0.0001,0.1920,0.3169,2735.287
50,Z,H,0.1132,0.0018,0.0007,0.0003,0.0016,0.0901,0.2706,0.1430,0.0209,0.0823,0.0116,0.0465,0.0001,0.6122,0.7891,2786.114
51,H,Z,0.1066,0.0021,0.0007,0.0002,0.0017,0.0554,0.0313,0.0807,0.0242,0.0394,0.0092,0.0372,0.0003,0.2345,0.3941,2836.531
