iteration,swap,target,time_ms
0,0,flow_a.toml,0.7627
0,1,flow_b.toml,0.6064
1,0,flow_a.toml,0.5884
1,1,flow_b.toml,0.9776
2,0,flow_a.toml,0.9170
2,1,flow_b.toml,0.5958
3,0,flow_a.toml,0.7172
3,1,flow_b.toml,0.9518
4,0,flow_a.toml,0.7072
4,1,flow_b.toml,0.6106
5,0,flow_a.toml,0.5673
5,1,flow_b.toml,0.7786
6,0,flow_a.toml,0.6798
6,1,flow_b.toml,0.8947
7,0,flow_a.toml,0.9836
7,1,flow_b.toml,0.9344
8,0,flow_a.toml,0.6135
8,1,flow_b.toml,0.9429
9,0,flow_a.toml,0.7424
9,1,flow_b.toml,0.7742
