method,iteration,from_hz,to_hz,time_us
soapy,154,991725000,3881974000,116681.5
soapy,155,3881974000,4213653000,115773.5
soapy,156,4213653000,536937000,115347.9
soapy,157,536937000,5736510000,118956.3
soapy,158,5736510000,950742000,115610.8
soapy,159,950742000,3774305000,114362.1
soapy,160,3774305000,265173000,114803.6
soapy,161,265173000,3336170000,116830.3
soapy,162,3336170000,586810000,114162.0
soapy,163,586810000,2770149000,116891.6
soapy,164,2770149000,2316856000,10500.6
soapy,165,2316856000,4848110000,115541.7
soapy,166,4848110000,570134000,116942.6
soapy,167,570134000,683999000,10184.9
soapy,168,683999000,5156141000,114006.2
soapy,169,5156141000,1745151000,113941.8
soapy,170,1745151000,4211299000,114479.7
soapy,171,4211299000,1003689000,114700.0
soapy,172,1003689000,3003511000,115344.8
soapy,173,3003511000,1286094000,113514.5
soapy,174,1286094000,4060881000,112648.6
soapy,175,4060881000,2743753000,113411.9
soapy,176,2743753000,3776695000,10314.1
soapy,177,3776695000,5535647000,114335.3
soapy,178,5535647000,3309601000,116459.3
soapy,179,3309601000,4844746000,118046.5
soapy,180,4844746000,3534217000,115522.4
soapy,181,3534217000,586810000,118094.4
soapy,182,586810000,4881068000,115842.4
soapy,183,4881068000,3222649000,115610.3
soapy,184,3222649000,4934155000,116699.2
soapy,185,4934155000,950742000,115464.9
soapy,186,950742000,2051607000,115251.2
soapy,187,2051607000,3622489000,10533.5
soapy,188,3622489000,3534217000,10373.5
soapy,189,3534217000,2036035000,10712.7
soapy,190,2036035000,2770149000,10275.9
soapy,191,2770149000,3502457000,10533.3
soapy,192,3502457000,4055700000,114923.1
soapy,193,4055700000,3881974000,114240.0
soapy,194,3881974000,5736705000,115631.7
soapy,195,5736705000,300479000,120282.5
soapy,196,300479000,5839217000,115588.0
soapy,197,5839217000,5181065000,10853.2
soapy,198,5181065000,4844746000,10816.2
soapy,199,4844746000,4365231000,10653.3
soapy,200,4365231000,5699496000,10430.8
soapy,201,5699496000,2770149000,116598.8
soapy,202,2770149000,4055700000,114560.2
soapy,203,4055700000,4055700000,2125.4
soapy,204,4055700000,2890617000,115381.2
soapy,205,2890617000,3502457000,10753.1
soapy,206,3502457000,4211299000,115884.0
soapy,207,4211299000,581262000,119518.4
soapy,208,581262000,5328975000,118813.0
soapy,209,5328975000,2121770000,120573.2
soapy,210,2121770000,385493000,116550.4
soapy,211,385493000,1243326000,10756.6
soapy,212,1243326000,1308034000,114490.1
soapy,213,1308034000,4934155000,115562.9
soapy,214,4934155000,3278689000,114412.2
soapy,215,3278689000,4082903000,114496.3
soapy,216,4082903000,1077145000,114840.2
soapy,217,1077145000,2591995000,117154.1
soapy,218,2591995000,2067061000,10585.9
soapy,219,2067061000,565969000,117791.9
soapy,220,565969000,2964396000,116617.3
soapy,221,2964396000,5736510000,116169.3
soapy,222,5736510000,4881068000,10473.7
soapy,223,4881068000,4126545000,10797.1
soapy,224,4126545000,3338818000,113800.1
soapy,225,3338818000,1817426000,10352.8
soapy,226,1817426000,3537789000,10442.2
soapy,227,3537789000,4004598000,116672.3
soapy,228,4004598000,3112595000,114895.4
soapy,229,3112595000,513357000,115013.6
soapy,230,513357000,1986272000,113519.2
soapy,231,1986272000,3881974000,10986.4
soapy,232,3881974000,3776695000,10617.7
soapy,233,3776695000,3774305000,10519.1
soapy,234,3774305000,2445400000,10422.0
soapy,235,2445400000,2930889000,10505.6
soapy,236,2930889000,5839217000,115297.6
soapy,237,5839217000,2410628000,115906.1
soapy,238,2410628000,2051607000,10828.8
soapy,239,2051607000,4881068000,119931.7
soapy,240,4881068000,3383607000,116027.5
soapy,241,3383607000,5156141000,114987.9
soapy,242,5156141000,1817426000,116642.8
soapy,243,1817426000,2183084000,10511.5
soapy,244,2183084000,4486212000,115530.1
soapy,245,4486212000,3776695000,116236.1
soapy,246,3776695000,1067057000,121010.6
soapy,247,1067057000,2648007000,115750.8
soapy,248,2648007000,715408000,113635.5
soapy,249,715408000,683999000,10937.4
soapy,250,683999000,4973067000,113772.6
soapy,251,4973067000,5893679000,10864.4
soapy,252,5893679000,3991414000,114432.7
soapy,253,3991414000,4351281000,116030.4
soapy,254,4351281000,2073885000,115878.2
soapy,255,2073885000,3622489000,10902.6
soapy,256,3622489000,3537789000,10421.2
soapy,257,3537789000,1067057000,117986.5
soapy,258,1067057000,388205000,10724.1
soapy,259,388205000,1741726000,116863.8
soapy,260,1741726000,2073885000,10809.2
soapy,261,2073885000,3309601000,10522.7
soapy,262,3309601000,4844746000,114139.3
soapy,263,4844746000,4848110000,10660.0
soapy,264,4848110000,991104000,114976.7
soapy,265,991104000,4881068000,115089.0
soapy,266,4881068000,4486212000,10618.5
soapy,267,4486212000,1573786000,116658.5
soapy,268,1573786000,565969000,116683.9
soapy,269,565969000,647129000,10706.2
soapy,270,647129000,1768286000,115428.0
soapy,271,1768286000,3932533000,10535.1
soapy,272,3932533000,4351281000,116103.6
soapy,273,4351281000,1674973000,115702.6
soapy,274,1674973000,5568412000,116603.6
soapy,275,5568412000,891714000,116908.6
