rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.517,0.586
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.824,0.716
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,303.656,0.233
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,305.958,1.004
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,307.787,0.357
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,310.096,0.667
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,311.935,0.349
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,314.225,0.980
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,316.082,0.421
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,318.372,0.828
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,320.209,0.385
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,322.514,0.630
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,324.332,0.204
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,326.645,0.634
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,328.502,0.235
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,330.798,0.515
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,332.626,0.272
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,334.932,0.574
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,336.784,0.222
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,339.063,0.747
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,340.912,0.207
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,343.211,0.772
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,345.038,0.232
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,347.355,0.706
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,349.208,0.357
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,351.505,0.886
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,353.332,0.353
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,355.638,0.574
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,357.496,0.355
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,359.783,0.963
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,361.693,0.220
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,363.916,0.550
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,365.751,0.279
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,368.050,0.641
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,369.902,0.275
