rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.524,0.554
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,302.731,0.768
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,305.459,0.388
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,308.682,1.020
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,311.411,0.265
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,314.627,0.656
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,317.355,0.371
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,320.553,1.116
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,323.305,0.416
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,326.499,1.006
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,329.230,0.358
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,332.428,0.707
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,335.165,0.348
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,338.361,1.075
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,341.113,0.230
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,344.305,0.545
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,347.065,0.249
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,350.245,1.007
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,352.980,0.337
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,356.180,0.675
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,358.925,0.203
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,362.125,0.881
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,364.886,0.249
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,368.069,0.646
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,370.804,0.224
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,374.000,0.862
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,376.754,0.211
