rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.446,0.704
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.635,0.872
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,303.379,0.375
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,305.563,0.816
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,308.308,0.386
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,313.447,0.678
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,315.173,0.236
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,317.393,1.109
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,319.132,0.255
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,321.333,0.759
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,323.089,0.286
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,325.257,0.725
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,326.980,0.349
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,329.193,0.743
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,330.927,0.255
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,333.142,0.659
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,334.882,0.245
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,337.090,0.775
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,338.829,0.328
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,341.015,0.696
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,342.765,0.281
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,344.966,0.885
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,346.717,0.333
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,348.899,0.682
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,350.653,0.242
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,352.839,0.560
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,354.587,0.232
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,356.788,0.816
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,358.506,0.267
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,360.717,0.694
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,362.472,0.246
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,364.660,0.557
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,366.407,0.238
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,368.597,0.616
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,370.339,0.248
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,372.533,0.655
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,374.308,0.340
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,376.487,0.719
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,378.259,0.279
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,380.433,0.676
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,382.595,0.240
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,384.366,0.540
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,386.095,0.236
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,388.518,0.714
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,390.064,0.233
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,392.247,0.572
