rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.517,0.645
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.638,1.174
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,303.325,0.258
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,307.220,0.734
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,310.952,0.241
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,313.092,0.664
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,314.780,0.286
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,316.917,0.637
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,318.567,0.256
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,320.734,0.809
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,322.457,0.282
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,324.548,0.716
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,326.257,0.291
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,328.369,0.554
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,330.085,0.212
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,332.192,0.653
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,333.867,0.238
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,336.019,0.697
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,337.704,0.246
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,339.830,0.667
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,341.518,0.258
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,343.672,0.569
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,345.321,0.247
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,347.473,1.024
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,349.153,0.265
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,351.307,0.599
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,352.966,0.290
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,355.113,0.697
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,356.817,0.390
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,359.044,0.577
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,360.588,0.201
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,362.757,0.848
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,364.426,0.322
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,366.565,0.544
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,368.252,0.315
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,370.396,0.594
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,372.078,0.359
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,374.214,0.605
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,375.910,0.251
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,378.034,0.981
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,379.715,0.321
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,381.854,0.643
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,383.529,0.245
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,385.676,0.909
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,387.341,0.340
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,389.504,0.670
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,391.171,0.297
47,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,393.310,0.699
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,394.971,0.316
49,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,397.136,0.835
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,398.809,0.225
51,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,400.949,0.644
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,402.642,0.245
53,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,404.766,0.698
54,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,406.464,0.345
55,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,408.601,0.585
