rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.763,0.900
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.672,0.729
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,303.094,0.269
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,305.020,0.866
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,306.452,0.230
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,308.339,1.038
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,309.791,0.281
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,311.685,0.613
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,313.149,0.324
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,315.031,0.688
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,316.467,0.311
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,318.367,0.900
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,319.808,0.241
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,321.708,0.761
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,323.156,0.253
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,325.069,0.818
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,326.488,0.323
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,328.391,0.994
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,329.827,0.235
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,331.726,0.931
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,333.466,0.345
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,335.080,0.580
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,336.505,0.334
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,338.411,0.829
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,339.843,0.344
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,341.752,0.690
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,343.239,0.296
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,345.100,0.965
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,346.523,0.322
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,348.428,0.757
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,349.887,0.260
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,351.760,0.643
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,353.197,0.263
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,355.114,0.538
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,356.567,0.241
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,358.436,0.643
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,359.881,0.310
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,361.797,0.573
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,363.234,0.218
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,365.126,1.026
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,366.712,0.285
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,368.464,0.557
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,369.897,0.249
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,371.805,0.642
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,373.235,0.353
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,375.152,0.518
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,376.605,0.226
47,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,378.476,0.514
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,379.937,0.350
49,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,381.828,0.707
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,383.242,0.258
51,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,385.159,0.662
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,386.608,0.335
53,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,388.522,0.550
54,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,389.959,0.284
55,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,391.843,0.550
56,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,393.274,0.349
57,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,395.175,0.705
58,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,396.664,0.363
59,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,398.541,0.594
60,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,399.979,0.277
61,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,401.878,0.935
