rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.489,0.607
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.732,0.723
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,303.495,0.257
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,305.693,0.576
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,307.435,0.381
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,309.697,1.062
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,311.441,0.290
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,313.659,0.779
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,315.435,0.253
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,317.650,0.552
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,319.390,0.252
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,321.611,0.850
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,323.375,0.243
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,325.590,0.600
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,327.380,0.370
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,329.573,0.714
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,331.368,0.354
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,333.547,0.550
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,335.300,0.326
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,337.527,0.561
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,339.307,0.246
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,341.527,0.633
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,343.269,0.360
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,345.496,0.550
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,347.261,0.279
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,349.481,0.601
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,351.229,0.227
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,353.457,1.051
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,355.238,0.217
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,357.440,0.888
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,359.189,0.295
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,361.423,0.849
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,363.170,0.303
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,365.410,0.627
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,367.172,0.215
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,369.394,0.561
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,371.140,0.239
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,373.351,0.741
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,375.136,0.294
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,377.328,0.532
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,379.099,0.322
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,381.317,1.036
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,383.081,0.293
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,385.288,0.580
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,387.059,0.235
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,389.268,0.669
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,391.039,0.265
47,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,393.245,0.598
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,395.004,0.240
49,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,397.236,0.731
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,398.994,0.344
51,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,401.223,0.831
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,403.014,0.321
53,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,405.206,0.618
