rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.317,0.941
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.141,0.719
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,302.485,0.359
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,304.317,0.640
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,305.663,0.350
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,307.501,0.642
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,308.848,0.228
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,310.662,0.611
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,312.025,0.345
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,313.840,1.177
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,315.541,0.349
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,317.033,0.729
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,318.397,0.265
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,320.216,0.750
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,321.567,0.344
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,323.389,0.654
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,324.757,0.238
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,326.567,0.972
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,327.917,0.270
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,329.754,1.098
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,331.187,0.271
