rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.624,0.604
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.682,0.599
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,303.274,0.252
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,305.281,0.653
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,306.868,0.268
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,308.900,0.695
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,310.494,0.255
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,312.524,0.781
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,314.131,0.240
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,316.154,0.658
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,317.730,0.263
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,319.775,0.637
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,321.346,0.261
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,323.399,0.739
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,324.944,0.307
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,327.013,0.973
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,328.589,0.238
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,330.638,0.699
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,332.218,0.241
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,334.249,0.783
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,335.817,0.272
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,337.877,0.564
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,339.462,0.283
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,341.486,0.742
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,343.070,0.221
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,345.117,0.579
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,346.706,0.226
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,348.739,0.695
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,350.390,0.254
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,352.343,0.548
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,353.936,0.266
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,355.967,1.002
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,357.536,0.209
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,359.597,0.521
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,361.153,0.217
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,363.217,0.886
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,364.785,0.325
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,366.829,0.548
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,368.430,0.321
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,370.460,0.585
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,372.034,0.327
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,374.071,0.566
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,375.648,0.311
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,377.704,0.626
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,379.250,0.329
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,381.307,0.629
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,382.912,0.266
47,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,384.921,1.074
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,386.522,0.255
49,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,388.555,0.603
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,390.146,0.281
51,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,392.174,0.560
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,393.740,0.252
53,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,395.807,0.576
54,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,397.409,0.265
55,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,399.404,0.799
56,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,401.011,0.278
57,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,403.021,0.549
58,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,404.623,0.330
59,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,406.647,0.641
60,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,408.226,0.215
61,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,410.262,0.555
62,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,411.850,0.344
63,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,413.886,0.794
64,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,415.489,0.291
65,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,417.508,0.807
66,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,419.087,0.228
67,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,421.122,0.731
68,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,422.690,0.332
69,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,424.761,0.659
70,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,426.315,0.311
71,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,428.358,0.545
72,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,429.983,0.284
73,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,431.980,0.865
74,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,433.576,0.226
75,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,435.600,0.903
76,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,437.212,0.324
77,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,439.242,0.550
78,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,440.802,0.245
79,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,442.844,0.612
80,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,444.440,0.231
81,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,446.483,0.846
82,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,448.050,0.251
83,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,450.105,0.834
84,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,451.680,0.246
85,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,453.714,0.548
86,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,455.301,0.319
87,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,457.324,0.827
88,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,458.906,0.358
89,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,460.944,0.623
90,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,462.514,0.256
91,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,464.575,0.549
92,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,466.151,0.232
93,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,468.196,0.544
94,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,469.747,0.233
95,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,471.819,0.813
96,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,473.403,0.313
97,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,475.418,0.674
98,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,477.020,0.303
99,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,479.041,0.942
100,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,480.654,0.366
101,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,482.666,0.559
102,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,484.258,0.280
103,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,486.286,0.777
104,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,487.859,0.234
105,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,489.907,0.792
106,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,491.480,0.217
107,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,493.538,0.821
108,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,495.128,0.251
109,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,497.139,0.599
110,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,498.729,0.228
111,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,500.768,0.541
112,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,502.338,0.263
113,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,504.394,0.561
114,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,505.952,0.228
