rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.472,0.589
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,304.180,1.135
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,308.398,0.379
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,313.121,0.656
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,317.353,0.244
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,322.050,0.876
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,326.285,0.260
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,330.988,1.039
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,335.217,0.315
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,339.935,0.773
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,344.182,0.351
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,348.874,0.860
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,353.125,0.341
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,357.825,0.686
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,362.041,0.244
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,366.752,0.711
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,370.990,0.251
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,375.702,0.720
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,379.938,0.345
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,384.637,0.930
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,388.940,0.386
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,393.584,0.870
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,397.811,0.393
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,402.521,0.754
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,406.745,0.276
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,411.444,0.630
