rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.551,0.905
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,303.386,1.031
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,306.661,0.403
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,310.454,0.758
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,313.790,0.349
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,317.605,0.692
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,320.929,0.352
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,324.727,0.773
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,328.065,0.250
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,331.861,1.036
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,335.185,0.301
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,339.006,0.566
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,342.348,0.318
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,346.154,0.761
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,349.480,0.252
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,353.292,0.565
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,356.643,0.392
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,360.427,0.673
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,363.739,0.250
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,367.565,0.645
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,370.905,0.329
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,374.702,0.748
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,378.063,0.360
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,381.857,0.569
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,385.208,0.264
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,388.997,0.920
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,392.334,0.399
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,396.135,1.011
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,399.476,0.292
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,403.267,0.972
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,406.641,0.473
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,410.414,0.794
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,413.762,0.267
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,417.561,1.227
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,420.895,0.374
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,424.714,0.767
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,428.044,0.428
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,431.835,0.707
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,435.154,0.386
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,438.998,0.880
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,442.304,0.291
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,446.106,0.745
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,449.452,0.345
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,453.260,1.007
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,456.617,0.401
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,460.381,0.906
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,463.723,0.413
47,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,467.526,0.674
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,470.860,0.300
49,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,474.688,0.975
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,478.008,0.361
51,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,481.804,0.851
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,485.144,0.255
53,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,488.946,1.044
54,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,492.294,0.329
55,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,496.086,0.639
56,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,499.415,0.334
57,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,503.223,0.884
58,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,506.563,0.239
59,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,510.358,0.931
60,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,513.705,0.259
61,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,517.496,0.861
62,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,520.833,0.222
63,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,524.636,0.625
64,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,527.994,0.241
65,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,531.781,0.871
66,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,535.130,0.330
67,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,538.919,0.860
68,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,542.272,0.227
69,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,546.067,0.798
70,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,549.393,0.347
71,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,553.211,0.734
72,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,556.535,0.334
73,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,560.334,0.514
74,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,563.671,0.364
75,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,567.473,0.503
76,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,570.812,0.257
77,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,574.612,0.552
78,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,577.982,0.244
79,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,581.760,0.582
80,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,585.096,0.320
81,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,588.903,0.586
82,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,592.247,0.255
83,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,596.052,0.551
84,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,599.375,0.309
85,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,603.190,0.658
86,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,606.534,0.243
87,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,610.325,0.730
88,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,613.666,0.366
89,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,617.490,0.642
90,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,620.807,0.248
91,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,624.616,0.627
92,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,627.971,0.337
93,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,631.743,0.589
94,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,635.075,0.330
95,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,638.909,0.734
96,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,642.237,0.260
97,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,646.038,0.966
98,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,649.367,0.281
99,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,653.178,0.549
100,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,656.518,0.289
101,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,660.304,0.614
102,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,663.635,0.209
103,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,667.441,0.999
104,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,670.784,0.312
105,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,674.589,0.665
