rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.437,0.590
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,303.150,0.713
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,306.372,0.353
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,310.089,0.655
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,313.293,0.231
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,317.039,0.697
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,320.260,0.224
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,323.958,0.836
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,327.212,0.355
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,330.899,0.654
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,334.137,0.322
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,337.841,0.645
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,341.061,0.347
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,344.782,0.671
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,347.994,0.228
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,351.698,0.665
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,354.938,0.265
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,358.720,0.855
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,361.893,0.253
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,365.587,0.510
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,368.824,0.212
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,372.527,0.967
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,375.773,0.332
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,379.471,0.633
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,382.719,0.280
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,386.409,0.785
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,389.655,0.233
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,393.367,0.677
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,396.602,0.334
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,400.299,0.889
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,403.542,0.337
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,407.249,0.890
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,410.491,0.340
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,414.184,0.957
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,417.410,0.364
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,421.107,0.967
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,424.349,0.238
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,428.049,0.578
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,431.297,0.406
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,435.015,0.689
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,438.250,0.346
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,441.934,0.795
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,445.162,0.254
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,448.873,0.558
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,452.112,0.328
