rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,299.521,0.888
1,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,301.234,1.126
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,302.750,0.313
3,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,304.096,0.866
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,305.362,0.283
5,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,306.994,0.769
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,308.225,0.250
7,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,309.906,0.556
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,311.119,0.348
9,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,312.800,1.052
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,314.325,0.282
11,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,315.695,0.616
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,316.913,0.362
13,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,318.599,1.040
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,320.028,0.242
15,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,321.505,0.870
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,322.714,0.278
17,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,324.393,0.734
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,325.652,0.236
19,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,327.306,0.585
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,328.516,0.238
21,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,330.191,0.705
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,331.415,0.283
23,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,333.096,0.985
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,334.379,0.337
25,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,335.993,0.575
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,337.249,0.240
27,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,338.911,0.889
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,340.182,0.269
29,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,341.790,0.997
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,343.257,0.229
31,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,344.693,0.642
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,345.927,0.308
33,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,347.608,0.573
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,348.804,0.289
35,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,350.498,0.755
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,351.718,0.252
37,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,353.399,0.515
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,354.609,0.238
39,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,356.309,0.670
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,357.525,0.251
41,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,359.185,0.630
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,360.409,0.263
43,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,362.097,0.606
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,363.314,0.249
45,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,364.999,0.633
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,366.239,0.267
47,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,367.895,0.698
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,369.089,0.269
49,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,370.792,0.575
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,372.043,0.248
51,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,373.711,1.058
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,375.148,0.321
53,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,376.601,0.886
54,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,377.829,0.312
55,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,379.498,0.901
56,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,380.722,0.328
57,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,382.395,0.585
58,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,383.605,0.259
59,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,385.345,0.903
60,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,386.568,0.231
61,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,388.193,0.671
62,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,389.419,0.807
63,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,391.097,0.887
64,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,392.346,0.259
65,Z,zigbee_frames,rx,46,255,1,90,900,7949771,-1,394.085,0.575
