rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,90,10000,1075533,-1,3794.808,1.201
1,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3810.160,0.330
2,Z,zigbee_frames,rx,46,1,0,90,10000,1097882,-1,3817.101,0.401
3,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3832.461,0.293
4,Z,zigbee_frames,rx,46,2,0,90,10000,1120138,-1,3839.397,0.377
5,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3853.986,0.370
6,Z,zigbee_frames,rx,46,3,0,90,10000,1142317,-1,3861.511,0.378
7,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3875.905,0.310
8,Z,zigbee_frames,rx,46,4,0,90,10000,1164458,-1,3883.661,0.317
9,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3898.341,0.358
10,Z,zigbee_frames,rx,46,5,0,90,10000,1186581,-1,3905.778,0.586
11,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3920.352,0.376
12,Z,zigbee_frames,rx,46,6,0,90,10000,1208694,-1,3927.896,0.319
13,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3942.235,0.294
14,Z,zigbee_frames,rx,46,7,0,90,10000,1230802,-1,3949.976,0.389
15,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3964.489,0.397
16,Z,zigbee_frames,rx,46,8,0,90,10000,1252909,-1,3972.100,0.392
17,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,3986.520,0.251
18,Z,zigbee_frames,rx,46,9,0,90,10000,1275014,-1,3994.213,0.322
19,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,4008.639,0.433
20,Z,zigbee_frames,rx,46,10,0,90,10000,1297119,-1,4016.343,0.292
21,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,4030.814,0.272
22,Z,zigbee_frames,rx,46,11,0,90,10000,1319223,-1,4038.474,0.480
23,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,4053.268,0.291
24,Z,zigbee_frames,rx,46,12,0,90,10000,1341327,-1,4060.573,0.289
25,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,4075.075,0.278
26,Z,zigbee_frames,rx,46,13,0,90,10000,1363430,-1,4082.689,0.340
27,H,halow_frames_a,rx,39,-1,-1,-1,-1,-1,369,4097.241,0.312
28,Z,zigbee_frames,rx,46,14,0,90,10000,1385533,-1,4104.875,0.469
