param,from,to,run,time_ms
rate,4,9,3,906.5692
rate,4,9,4,899.2342
rate,4,10,0,108.3006
rate,4,10,1,108.6011
rate,4,10,2,827.4597
rate,4,10,3,800.4554
rate,4,10,4,106.6481
rate,5,1,0,1953.4394
rate,5,1,1,1061.6406
rate,5,1,2,1965.6350
rate,5,1,3,1975.9931
rate,5,1,4,1058.3695
rate,5,2,0,1984.6698
rate,5,2,1,1906.7653
rate,5,2,2,687.4582
rate,5,2,3,1952.1439
rate,5,2,4,1964.7190
rate,5,3,0,134.4143
rate,5,3,1,132.4581
rate,5,3,2,148.9372
rate,5,3,3,142.9907
rate,5,3,4,140.8077
rate,5,4,0,112.8432
rate,5,4,1,989.0590
rate,5,4,2,68.6139
rate,5,4,3,103.7030
rate,5,4,4,103.3096
rate,5,5,0,123.9985
rate,5,5,1,129.5072
rate,5,5,2,1467.3095
rate,5,5,3,128.9940
rate,5,5,4,134.9015
rate,5,6,0,132.6362
rate,5,6,1,131.5325
rate,5,6,2,1260.4876
rate,5,6,3,139.2763
rate,5,6,4,1273.1710
rate,5,7,0,120.0277
rate,5,7,1,1107.8586
rate,5,7,2,120.3378
rate,5,7,3,1110.1985
rate,5,7,4,1107.3468
rate,5,8,0,115.1761
rate,5,8,1,111.0684
rate,5,8,2,113.8928
rate,5,8,3,119.6328
rate,5,8,4,987.1972
rate,5,9,0,106.7012
rate,5,9,1,900.9682
rate,5,9,2,897.8187
rate,5,9,3,896.2173
rate,5,9,4,894.6714
rate,5,10,0,814.4709
rate,5,10,1,90.1869
rate,5,10,2,814.9629
rate,5,10,3,804.4058
rate,5,10,4,98.1142
rate,6,1,0,971.0365
rate,6,1,1,987.6826
rate,6,1,2,961.3286
rate,6,1,3,954.4232
rate,6,1,4,953.8714
rate,6,2,0,1853.1101
rate,6,2,1,1827.6658
rate,6,2,2,1900.3536
rate,6,2,3,1847.2917
rate,6,2,4,1884.5354
rate,6,3,0,137.7009
rate,6,3,1,153.1484
rate,6,3,2,155.7024
rate,6,3,3,148.2193
rate,6,3,4,146.6683
rate,6,4,0,96.9026
rate,6,4,1,113.6702
rate,6,4,2,121.8940
rate,6,4,3,119.5373
rate,6,4,4,73.7641
rate,6,5,0,104.7492
rate,6,5,1,108.0893
rate,6,5,2,133.9914
rate,6,5,3,104.7207
rate,6,5,4,103.1094
rate,6,6,0,110.9932
rate,6,6,1,111.2626
rate,6,6,2,111.3591
rate,6,6,3,116.3723
rate,6,6,4,120.0524
rate,6,7,0,1095.1299
rate,6,7,1,113.0388
rate,6,7,2,1100.5563
rate,6,7,3,114.7610
rate,6,7,4,116.5376
rate,6,8,0,106.1332
rate,6,8,1,108.0078
rate,6,8,2,114.4724
rate,6,8,3,114.8233
rate,6,8,4,111.7001
rate,6,9,0,102.1314
rate,6,9,1,99.4773
rate,6,9,2,97.9445
rate,6,9,3,104.9973
rate,6,9,4,107.9199
rate,6,10,0,87.4523
rate,6,10,1,92.7929
rate,6,10,2,104.2351
rate,6,10,3,97.2273
rate,6,10,4,102.9785
rate,7,1,0,1849.5118
rate,7,1,1,1851.3216
rate,7,1,2,957.8717
rate,7,1,3,1851.0652
rate,7,1,4,921.8597
rate,7,2,0,1845.1119
rate,7,2,1,1862.9716
rate,7,2,2,1859.8222
rate,7,2,3,1818.7346
rate,7,2,4,1855.3570
rate,7,3,0,154.5894
rate,7,3,1,150.4178
rate,7,3,2,148.8219
rate,7,3,3,143.5737
rate,7,3,4,146.3712
rate,7,4,0,91.5464
rate,7,4,1,85.8339
rate,7,4,2,88.8125
rate,7,4,3,114.4600
rate,7,4,4,115.9900
rate,7,5,0,107.1302
rate,7,5,1,150.9478
rate,7,5,2,106.0102
rate,7,5,3,98.0439
rate,7,5,4,107.5574
rate,7,6,0,119.9809
rate,7,6,1,129.8505
rate,7,6,2,119.8465
rate,7,6,3,126.1446
rate,7,6,4,127.1202
rate,7,7,0,110.7897
rate,7,7,1,107.0364
rate,7,7,2,106.0901
rate,7,7,3,110.7899
rate,7,7,4,104.1420
rate,7,8,0,114.5004
rate,7,8,1,110.4642
rate,7,8,2,98.3648
rate,7,8,3,114.9191
rate,7,8,4,110.1783
rate,7,9,0,112.5102
rate,7,9,1,106.4304
rate,7,9,2,98.8164
rate,7,9,3,101.7296
rate,7,9,4,105.2529
rate,7,10,0,97.8207
rate,7,10,1,105.6503
rate,7,10,2,94.5278
rate,7,10,3,99.6914
rate,7,10,4,106.0696
rate,8,1,0,617.6172
rate,8,1,1,1507.1499
rate,8,1,2,1804.6902
rate,8,1,3,608.6390
rate,8,1,4,606.8132
rate,8,2,0,1522.4557
rate,8,2,1,1518.5010
rate,8,2,2,1475.8048
rate,8,2,3,1501.6742
rate,8,2,4,1487.7133
rate,8,3,0,153.1138
rate,8,3,1,160.7661
rate,8,3,2,146.1838
rate,8,3,3,151.5317
rate,8,3,4,133.3435
rate,8,4,0,79.4946
rate,8,4,1,84.8310
rate,8,4,2,109.0499
rate,8,4,3,77.5825
rate,8,4,4,108.8306
rate,8,5,0,153.6620
rate,8,5,1,137.2449
rate,8,5,2,145.6577
rate,8,5,3,150.4947
rate,8,5,4,108.2286
rate,8,6,0,127.3695
rate,8,6,1,122.9219
rate,8,6,2,120.5452
rate,8,6,3,129.8780
rate,8,6,4,127.1952
rate,8,7,0,102.1580
rate,8,7,1,111.9883
rate,8,7,2,124.8764
rate,8,7,3,115.6295
rate,8,7,4,115.8576
rate,8,8,0,94.7916
rate,8,8,1,98.7904
rate,8,8,2,106.3874
rate,8,8,3,97.1807
rate,8,8,4,94.4577
rate,8,9,0,111.3396
rate,8,9,1,101.8144
rate,8,9,2,102.2277
rate,8,9,3,112.9728
rate,8,9,4,102.3853
rate,8,10,0,106.4706
rate,8,10,1,100.4149
rate,8,10,2,105.6643
rate,8,10,3,109.1606
rate,8,10,4,108.1127
rate,9,1,0,636.5019
rate,9,1,1,576.5589
rate,9,1,2,583.2353
rate,9,1,3,589.3270
rate,9,1,4,618.1312
rate,9,2,0,1472.0154
rate,9,2,1,1508.8642
rate,9,2,2,1439.7397
rate,9,2,3,1506.9325
rate,9,2,4,1524.7580
rate,9,3,0,139.9080
rate,9,3,1,137.5030
rate,9,3,2,139.0761
rate,9,3,3,143.6293
rate,9,3,4,139.9122
rate,9,4,0,90.0967
rate,9,4,1,93.9311
rate,9,4,2,121.8519
rate,9,4,3,89.7972
rate,9,4,4,112.6445
rate,9,5,0,153.6062
rate,9,5,1,108.6370
rate,9,5,2,104.4080
rate,9,5,3,143.7833
rate,9,5,4,148.0395
rate,9,6,0,124.7299
rate,9,6,1,125.5283
rate,9,6,2,131.1874
rate,9,6,3,129.4477
rate,9,6,4,130.8863
rate,9,7,0,116.9405
rate,9,7,1,113.4745
rate,9,7,2,119.5558
rate,9,7,3,110.2326
rate,9,7,4,121.6525
rate,9,8,0,106.6779
rate,9,8,1,106.5896
rate,9,8,2,119.9195
rate,9,8,3,119.2101
rate,9,8,4,106.1280
rate,9,9,0,87.8573
rate,9,9,1,94.8367
rate,9,9,2,98.4196
rate,9,9,3,98.0661
rate,9,9,4,100.6908
rate,9,10,0,107.4927
rate,9,10,1,99.8912
rate,9,10,2,93.3705
rate,9,10,3,106.5726
rate,9,10,4,109.4172
rate,10,1,0,630.5518
rate,10,1,1,687.8647
rate,10,1,2,1580.3057
rate,10,1,3,1524.2284
rate,10,1,4,1586.0762
rate,10,2,0,1528.9729
rate,10,2,1,1581.2330
rate,10,2,2,1554.8329
rate,10,2,3,1588.6034
rate,10,2,4,1540.9235
rate,10,3,0,154.1797
rate,10,3,1,151.3581
rate,10,3,2,140.6004
rate,10,3,3,138.7625
rate,10,3,4,157.6301
rate,10,4,0,126.1526
rate,10,4,1,115.6423
rate,10,4,2,94.7062
rate,10,4,3,97.9520
rate,10,4,4,96.5453
rate,10,5,0,95.3401
rate,10,5,1,137.7471
rate,10,5,2,98.9246
rate,10,5,3,89.1212
rate,10,5,4,93.6534
rate,10,6,0,133.6588
rate,10,6,1,123.5140
rate,10,6,2,127.6575
rate,10,6,3,129.4658
rate,10,6,4,126.7806
rate,10,7,0,110.1169
rate,10,7,1,116.6035
rate,10,7,2,112.6984
rate,10,7,3,98.4110
rate,10,7,4,97.7137
rate,10,8,0,94.4277
rate,10,8,1,94.6667
