test,iteration,time_ms
rx_native_freq,19,10.6013
rx_native_sample_rate,0,500.9829
rx_native_sample_rate,1,75.6643
rx_native_sample_rate,2,498.7694
rx_native_sample_rate,3,76.8663
rx_native_sample_rate,4,476.5406
rx_native_sample_rate,5,73.1227
rx_native_sample_rate,6,477.0773
rx_native_sample_rate,7,948.2994
rx_native_sample_rate,8,478.7943
rx_native_sample_rate,9,949.9399
rx_native_sample_rate,10,474.0313
rx_native_sample_rate,11,71.4170
rx_native_sample_rate,12,472.8952
rx_native_sample_rate,13,71.8937
rx_native_sample_rate,14,470.8057
rx_native_sample_rate,15,72.2291
rx_native_sample_rate,16,476.8346
rx_native_sample_rate,17,942.8933
rx_native_sample_rate,18,470.6055
rx_native_sample_rate,19,79.2147
rx_native_gain,0,2.2379
rx_native_gain,1,2.1997
rx_native_gain,2,2.2109
rx_native_gain,3,2.2481
rx_native_gain,4,2.2194
rx_native_gain,5,2.2191
rx_native_gain,6,2.2304
rx_native_gain,7,2.2487
rx_native_gain,8,2.2683
rx_native_gain,9,2.2288
rx_native_gain,10,2.2214
rx_native_gain,11,2.3027
rx_native_gain,12,2.2719
rx_native_gain,13,2.2817
rx_native_gain,14,2.2794
rx_native_gain,15,2.2678
rx_native_gain,16,2.2684
rx_native_gain,17,2.5471
rx_native_gain,18,2.7257
rx_native_gain,19,2.7169
rx_native_freq+rate,0,477.7914
rx_native_freq+rate,1,957.5637
rx_native_freq+rate,2,494.2699
rx_native_freq+rate,3,81.3575
rx_native_freq+rate,4,499.0624
rx_native_freq+rate,5,82.2659
rx_native_freq+rate,6,495.2346
rx_native_freq+rate,7,105.5040
rx_native_freq+rate,8,488.6304
rx_native_freq+rate,9,88.6571
rx_native_freq+rate,10,486.3402
rx_native_freq+rate,11,87.6279
rx_native_freq+rate,12,494.0523
rx_native_freq+rate,13,81.9935
rx_native_freq+rate,14,488.5539
rx_native_freq+rate,15,84.0125
rx_native_freq+rate,16,484.1769
rx_native_freq+rate,17,82.3505
rx_native_freq+rate,18,489.1570
rx_native_freq+rate,19,107.5839
rx_native_freq+rate+gain,0,490.8073
rx_native_freq+rate+gain,1,85.9960
rx_native_freq+rate+gain,2,502.5291
rx_native_freq+rate+gain,3,97.1467
rx_native_freq+rate+gain,4,508.8270
rx_native_freq+rate+gain,5,86.0518
rx_native_freq+rate+gain,6,492.0367
rx_native_freq+rate+gain,7,83.7471
rx_native_freq+rate+gain,8,489.4458
rx_native_freq+rate+gain,9,953.2592
rx_native_freq+rate+gain,10,505.5333
rx_native_freq+rate+gain,11,84.9491
rx_native_freq+rate+gain,12,484.5765
rx_native_freq+rate+gain,13,86.3510
rx_native_freq+rate+gain,14,484.9779
rx_native_freq+rate+gain,15,84.7543
rx_native_freq+rate+gain,16,485.4840
rx_native_freq+rate+gain,17,83.2386
rx_native_freq+rate+gain,18,495.2866
rx_native_freq+rate+gain,19,86.6971
rx_native_freq_noop,0,2.2127
rx_native_freq_noop,1,1.8802
rx_native_freq_noop,2,1.7454
rx_native_freq_noop,3,1.7427
rx_native_freq_noop,4,1.7493
rx_native_freq_noop,5,1.7455
rx_native_freq_noop,6,1.7459
rx_native_freq_noop,7,1.7448
rx_native_freq_noop,8,1.7472
rx_native_freq_noop,9,1.7464
rx_native_freq_noop,10,1.7464
rx_native_freq_noop,11,1.7423
rx_native_freq_noop,12,1.7598
rx_native_freq_noop,13,1.7733
rx_native_freq_noop,14,1.7424
rx_native_freq_noop,15,1.7282
rx_native_freq_noop,16,1.7476
rx_native_freq_noop,17,1.7473
rx_native_freq_noop,18,1.7506
rx_native_freq_noop,19,1.7491
rx_native_freq_1mhz,0,1.7249
rx_native_freq_1mhz,1,10.5073
rx_native_freq_1mhz,2,10.5532
rx_native_freq_1mhz,3,10.5448
rx_native_freq_1mhz,4,11.9285
rx_native_freq_1mhz,5,12.8205
rx_native_freq_1mhz,6,12.3991
rx_native_freq_1mhz,7,11.2298
rx_native_freq_1mhz,8,12.0065
rx_native_freq_1mhz,9,10.5447
rx_native_freq_1mhz,10,10.5241
rx_native_freq_1mhz,11,10.9499
rx_native_freq_1mhz,12,10.5392
rx_native_freq_1mhz,13,11.6827
rx_native_freq_1mhz,14,13.8907
rx_native_freq_1mhz,15,16.2316
rx_native_freq_1mhz,16,16.3929
rx_native_freq_1mhz,17,11.7331
rx_native_freq_1mhz,18,13.5435
rx_native_freq_1mhz,19,11.9203
