param,from,to,run,time_ms
rate,4,9,2,892.1937
rate,4,9,3,906.4479
rate,4,9,4,892.3906
rate,4,10,0,818.1402
rate,4,10,1,823.2311
rate,4,10,2,814.3306
rate,4,10,3,827.7822
rate,4,10,4,819.1509
rate,5,1,0,1039.0022
rate,5,1,1,1072.1273
rate,5,1,2,1063.5701
rate,5,1,3,1064.7532
rate,5,1,4,1061.4540
rate,5,2,0,1931.5545
rate,5,2,1,1097.4335
rate,5,2,2,1940.0096
rate,5,2,3,1102.1551
rate,5,2,4,1101.0893
rate,5,3,0,146.1581
rate,5,3,1,1238.3934
rate,5,3,2,1244.9852
rate,5,3,3,1261.3863
rate,5,3,4,1242.7748
rate,5,4,0,83.3634
rate,5,4,1,80.8482
rate,5,4,2,78.8238
rate,5,4,3,87.1938
rate,5,4,4,80.5104
rate,5,5,0,88.5187
rate,5,5,1,86.7922
rate,5,5,2,1451.2828
rate,5,5,3,83.0783
rate,5,5,4,1438.7415
rate,5,6,0,1240.4517
rate,5,6,1,1215.4409
rate,5,6,2,1215.7646
rate,5,6,3,1220.2920
rate,5,6,4,1247.4804
rate,5,7,0,1081.2723
rate,5,7,1,1063.6356
rate,5,7,2,1096.4154
rate,5,7,3,1101.8450
rate,5,7,4,131.9195
rate,5,8,0,123.8319
rate,5,8,1,970.6181
rate,5,8,2,960.1073
rate,5,8,3,967.4275
rate,5,8,4,99.2934
rate,5,9,0,115.0723
rate,5,9,1,112.1398
rate,5,9,2,95.2865
rate,5,9,3,893.6007
rate,5,9,4,875.6056
rate,5,10,0,97.2879
rate,5,10,1,796.3028
rate,5,10,2,96.8294
rate,5,10,3,97.6151
rate,5,10,4,93.5663
rate,6,1,0,966.8083
rate,6,1,1,975.2032
rate,6,1,2,971.3721
rate,6,1,3,985.0611
rate,6,1,4,991.3267
rate,6,2,0,1830.2833
rate,6,2,1,1882.8796
rate,6,2,2,1847.2127
rate,6,2,3,1863.1896
rate,6,2,4,1890.1488
rate,6,3,0,146.7971
rate,6,3,1,150.7714
rate,6,3,2,147.8745
rate,6,3,3,144.5369
rate,6,3,4,135.3158
rate,6,4,0,92.0992
rate,6,4,1,78.0625
rate,6,4,2,92.9176
rate,6,4,3,89.9700
rate,6,4,4,88.4424
rate,6,5,0,144.4680
rate,6,5,1,113.5182
rate,6,5,2,111.5243
rate,6,5,3,104.8866
rate,6,5,4,111.0467
rate,6,6,0,116.2714
rate,6,6,1,117.6924
rate,6,6,2,114.4537
rate,6,6,3,107.7398
rate,6,6,4,113.4401
rate,6,7,0,122.7007
rate,6,7,1,115.2807
rate,6,7,2,114.7805
rate,6,7,3,116.5384
rate,6,7,4,118.2738
rate,6,8,0,103.4422
rate,6,8,1,105.6512
rate,6,8,2,106.2935
rate,6,8,3,110.6053
rate,6,8,4,112.0496
rate,6,9,0,102.2066
rate,6,9,1,100.9758
rate,6,9,2,109.7833
rate,6,9,3,100.6044
rate,6,9,4,101.1202
rate,6,10,0,102.8135
rate,6,10,1,98.7026
rate,6,10,2,99.8332
rate,6,10,3,88.6440
rate,6,10,4,100.0417
rate,7,1,0,972.6923
rate,7,1,1,983.5187
rate,7,1,2,980.5471
rate,7,1,3,987.4072
rate,7,1,4,974.6491
rate,7,2,0,1838.6725
rate,7,2,1,1836.6136
rate,7,2,2,1877.8886
rate,7,2,3,1848.5729
rate,7,2,4,1860.0432
rate,7,3,0,146.4558
rate,7,3,1,147.0869
rate,7,3,2,152.2357
rate,7,3,3,147.9797
rate,7,3,4,148.8463
rate,7,4,0,91.6614
rate,7,4,1,93.7939
rate,7,4,2,94.7010
rate,7,4,3,90.0657
rate,7,4,4,94.6912
rate,7,5,0,137.7424
rate,7,5,1,96.2057
rate,7,5,2,145.0108
rate,7,5,3,146.6352
rate,7,5,4,100.8136
rate,7,6,0,127.2271
rate,7,6,1,123.0034
rate,7,6,2,112.8140
rate,7,6,3,131.8209
rate,7,6,4,117.9644
rate,7,7,0,106.3972
rate,7,7,1,105.3784
rate,7,7,2,107.1979
rate,7,7,3,110.8418
rate,7,7,4,103.0073
rate,7,8,0,104.9591
rate,7,8,1,108.5231
rate,7,8,2,114.0119
rate,7,8,3,110.0952
rate,7,8,4,112.1203
rate,7,9,0,107.6727
rate,7,9,1,105.3771
rate,7,9,2,102.7426
rate,7,9,3,101.8611
rate,7,9,4,103.8393
rate,7,10,0,96.8443
rate,7,10,1,92.6217
rate,7,10,2,105.0034
rate,7,10,3,103.2645
rate,7,10,4,100.7339
rate,8,1,0,591.0412
rate,8,1,1,609.3582
rate,8,1,2,608.7926
rate,8,1,3,587.5457
rate,8,1,4,622.0395
rate,8,2,0,1484.4322
rate,8,2,1,1504.8966
rate,8,2,2,1509.7218
rate,8,2,3,1462.3244
rate,8,2,4,1490.4055
rate,8,3,0,145.3122
rate,8,3,1,139.6146
rate,8,3,2,130.4754
rate,8,3,3,129.7276
rate,8,3,4,150.7720
rate,8,4,0,100.3193
rate,8,4,1,78.7043
