idx,t_rel_s,delta_ms,len,version,payload_prefix
78,13.580906926,9.921878,30,v6,88000000ffffffffffffa8dd9f4dc5b5
79,13.592121564,11.214638,30,v6,88000000ffffffffffffa8dd9f4dc5b5
80,13.603260388,11.138824,30,v6,88000000ffffffffffffa8dd9f4dc5b5
81,13.614344024,11.083636,30,v6,88000000ffffffffffffa8dd9f4dc5b5
82,13.625566471,11.222447,30,v6,88000000ffffffffffffa8dd9f4dc5b5
83,13.635793309,10.226838,30,v6,88000000ffffffffffffa8dd9f4dc5b5
84,13.646684855,10.891546,30,v6,88000000ffffffffffffa8dd9f4dc5b5
85,13.657313941,10.629086,30,v6,88000000ffffffffffffa8dd9f4dc5b5
86,13.668403925,11.089984,30,v6,88000000ffffffffffffa8dd9f4dc5b5
87,13.678353272,9.949347,30,v6,88000000ffffffffffffa8dd9f4dc5b5
88,13.689470380,11.117108,30,v6,88000000ffffffffffffa8dd9f4dc5b5
89,13.699690042,10.219662,30,v6,88000000ffffffffffffa8dd9f4dc5b5
90,13.710708931,11.018889,30,v6,88000000ffffffffffffa8dd9f4dc5b5
91,13.723149279,12.440348,30,v6,88000000ffffffffffffa8dd9f4dc5b5
92,13.733138793,9.989514,30,v6,88000000ffffffffffffa8dd9f4dc5b5
93,13.744462461,11.323668,30,v6,88000000ffffffffffffa8dd9f4dc5b5
94,13.754832080,10.369619,30,v6,88000000ffffffffffffa8dd9f4dc5b5
95,13.765745352,10.913272,30,v6,88000000ffffffffffffa8dd9f4dc5b5
96,13.775904621,10.159269,30,v6,88000000ffffffffffffa8dd9f4dc5b5
97,13.787291249,11.386628,30,v6,88000000ffffffffffffa8dd9f4dc5b5
98,13.797255309,9.964060,30,v6,88000000ffffffffffffa8dd9f4dc5b5
99,13.807680568,10.425259,30,v6,88000000ffffffffffffa8dd9f4dc5b5
100,13.818889027,11.208459,30,v6,88000000ffffffffffffa8dd9f4dc5b5
101,13.830300856,11.411829,30,v6,88000000ffffffffffffa8dd9f4dc5b5
102,13.841009283,10.708427,30,v6,88000000ffffffffffffa8dd9f4dc5b5
103,13.851184684,10.175401,30,v6,88000000ffffffffffffa8dd9f4dc5b5
104,13.862369993,11.185309,30,v6,88000000ffffffffffffa8dd9f4dc5b5
105,13.872675753,10.305760,30,v6,88000000ffffffffffffa8dd9f4dc5b5
106,13.883872676,11.196923,30,v6,88000000ffffffffffffa8dd9f4dc5b5
107,13.894153982,10.281306,30,v6,88000000ffffffffffffa8dd9f4dc5b5
108,13.904983199,10.829217,30,v6,88000000ffffffffffffa8dd9f4dc5b5
109,13.915129988,10.146789,30,v6,88000000ffffffffffffa8dd9f4dc5b5
110,13.926517171,11.387183,30,v6,88000000ffffffffffffa8dd9f4dc5b5
111,13.936494972,9.977801,30,v6,88000000ffffffffffffa8dd9f4dc5b5
112,13.948495743,12.000771,30,v6,88000000ffffffffffffa8dd9f4dc5b5
113,13.958640636,10.144893,30,v6,88000000ffffffffffffa8dd9f4dc5b5
114,13.969862666,11.222030,30,v6,88000000ffffffffffffa8dd9f4dc5b5
115,13.980133210,10.270544,30,v6,88000000ffffffffffffa8dd9f4dc5b5
116,13.991395104,11.261894,30,v6,88000000ffffffffffffa8dd9f4dc5b5
117,14.001504875,10.109771,30,v6,88000000ffffffffffffa8dd9f4dc5b5
118,14.012701868,11.196993,30,v6,88000000ffffffffffffa8dd9f4dc5b5
119,14.023009287,10.307419,30,v6,88000000ffffffffffffa8dd9f4dc5b5
120,14.032912792,9.903505,30,v6,88000000ffffffffffffa8dd9f4dc5b5
121,14.045084921,12.172129,30,v6,88000000ffffffffffffa8dd9f4dc5b5
122,14.055262770,10.177849,30,v6,88000000ffffffffffffa8dd9f4dc5b5
123,14.067691760,12.428990,30,v6,88000000ffffffffffffa8dd9f4dc5b5
124,14.077543454,9.851694,30,v6,88000000ffffffffffffa8dd9f4dc5b5
125,14.088876078,11.332624,30,v6,88000000ffffffffffffa8dd9f4dc5b5
126,14.098981962,10.105884,30,v6,88000000ffffffffffffa8dd9f4dc5b5
127,14.110363970,11.382008,30,v6,88000000ffffffffffffa8dd9f4dc5b5
128,14.120358628,9.994658,30,v6,88000000ffffffffffffa8dd9f4dc5b5
129,14.130475014,10.116386,30,v6,88000000ffffffffffffa8dd9f4dc5b5
130,14.141515129,11.040115,30,v6,88000000ffffffffffffa8dd9f4dc5b5
131,14.152894528,11.379399,30,v6,88000000ffffffffffffa8dd9f4dc5b5
132,14.162903237,10.008709,30,v6,88000000ffffffffffffa8dd9f4dc5b5
133,14.174110188,11.206951,30,v6,88000000ffffffffffffa8dd9f4dc5b5
134,14.185325346,11.215158,30,v6,88000000ffffffffffffa8dd9f4dc5b5
135,14.195535755,10.210409,30,v6,88000000ffffffffffffa8dd9f4dc5b5
136,14.206896463,11.360708,30,v6,88000000ffffffffffffa8dd9f4dc5b5
137,14.217797990,10.901527,30,v6,88000000ffffffffffffa8dd9f4dc5b5
138,14.228045086,10.247096,30,v6,88000000ffffffffffffa8dd9f4dc5b5
139,14.239209454,11.164368,30,v6,88000000ffffffffffffa8dd9f4dc5b5
140,14.249265894,10.056440,30,v6,88000000ffffffffffffa8dd9f4dc5b5
141,14.259538946,10.273052,30,v6,88000000ffffffffffffa8dd9f4dc5b5
142,14.270823120,11.284174,30,v6,88000000ffffffffffffa8dd9f4dc5b5
143,14.281769004,10.945884,30,v6,88000000ffffffffffffa8dd9f4dc5b5
144,14.292058795,10.289791,30,v6,88000000ffffffffffffa8dd9f4dc5b5
145,14.304165786,12.106991,30,v6,88000000ffffffffffffa8dd9f4dc5b5
146,14.314420978,10.255192,30,v6,88000000ffffffffffffa8dd9f4dc5b5
147,14.325569404,11.148426,30,v6,88000000ffffffffffffa8dd9f4dc5b5
148,14.335747845,10.178441,30,v6,88000000ffffffffffffa8dd9f4dc5b5
149,14.346904902,11.157057,30,v6,88000000ffffffffffffa8dd9f4dc5b5
150,14.357199482,10.294580,30,v6,88000000ffffffffffffa8dd9f4dc5b5
151,14.367427393,10.227911,30,v6,88000000ffffffffffffa8dd9f4dc5b5
152,14.378395871,10.968478,30,v6,88000000ffffffffffffa8dd9f4dc5b5
153,14.388681275,10.285404,30,v6,88000000ffffffffffffa8dd9f4dc5b5
154,14.400221862,11.540587,30,v6,88000000ffffffffffffa8dd9f4dc5b5
155,14.411054601,10.832739,30,v6,88000000ffffffffffffa8dd9f4dc5b5
156,14.422251276,11.196675,30,v6,88000000ffffffffffffa8dd9f4dc5b5
157,14.433413523,11.162247,30,v6,88000000ffffffffffffa8dd9f4dc5b5
158,14.443743571,10.330048,30,v6,88000000ffffffffffffa8dd9f4dc5b5
159,14.454703841,10.960270,30,v6,88000000ffffffffffffa8dd9f4dc5b5
160,14.464770828,10.066987,30,v6,88000000ffffffffffffa8dd9f4dc5b5
161,14.474751342,9.980514,30,v6,88000000ffffffffffffa8dd9f4dc5b5
162,14.485899282,11.147940,30,v6,88000000ffffffffffffa8dd9f4dc5b5
163,14.496126822,10.227540,30,v6,88000000ffffffffffffa8dd9f4dc5b5
164,14.507561096,11.434274,30,v6,88000000ffffffffffffa8dd9f4dc5b5
165,14.518750676,11.189580,30,v6,88000000ffffffffffffa8dd9f4dc5b5
166,14.528601370,9.850694,30,v6,88000000ffffffffffffa8dd9f4dc5b5
167,14.540797323,12.195953,30,v6,88000000ffffffffffffa8dd9f4dc5b5
168,14.551148099,10.350776,30,v6,88000000ffffffffffffa8dd9f4dc5b5
169,14.561303282,10.155183,30,v6,88000000ffffffffffffa8dd9f4dc5b5
170,14.572749775,11.446493,30,v6,88000000ffffffffffffa8dd9f4dc5b5
171,14.582612103,9.862328,30,v6,88000000ffffffffffffa8dd9f4dc5b5
172,14.593818352,11.206249,30,v6,88000000ffffffffffffa8dd9f4dc5b5
173,14.604869520,11.051168,30,v6,88000000ffffffffffffa8dd9f4dc5b5
174,14.615006202,10.136682,30,v6,88000000ffffffffffffa8dd9f4dc5b5
175,14.626489293,11.483091,30,v6,88000000ffffffffffffa8dd9f4dc5b5
176,14.637217226,10.727933,30,v6,88000000ffffffffffffa8dd9f4dc5b5
177,14.648539018,11.321792,30,v6,88000000ffffffffffffa8dd9f4dc5b5
178,14.658595525,10.056507,30,v6,88000000ffffffffffffa8dd9f4dc5b5
179,14.668876373,10.280848,30,v6,88000000ffffffffffffa8dd9f4dc5b5
180,14.680080866,11.204493,30,v6,88000000ffffffffffffa8dd9f4dc5b5
181,14.690221472,10.140606,30,v6,88000000ffffffffffffa8dd9f4dc5b5
182,14.701526317,11.304845,30,v6,88000000ffffffffffffa8dd9f4dc5b5
183,14.711600894,10.074577,30,v6,88000000ffffffffffffa8dd9f4dc5b5
184,14.722884769,11.283875,30,v6,88000000ffffffffffffa8dd9f4dc5b5
185,14.733855273,10.970504,30,v6,88000000ffffffffffffa8dd9f4dc5b5
186,14.744035069,10.179796,30,v6,88000000ffffffffffffa8dd9f4dc5b5
187,14.755390233,11.355164,30,v6,88000000ffffffffffffa8dd9f4dc5b5
188,14.766616519,11.226286,30,v6,88000000ffffffffffffa8dd9f4dc5b5
189,14.776621437,10.004918,30,v6,88000000ffffffffffffa8dd9f4dc5b5
190,14.787955712,11.334275,30,v6,88000000ffffffffffffa8dd9f4dc5b5
191,14.798180256,10.224544,30,v6,88000000ffffffffffffa8dd9f4dc5b5
192,14.808992800,10.812544,30,v6,88000000ffffffffffffa8dd9f4dc5b5
193,14.819478085,10.485285,30,v6,88000000ffffffffffffa8dd9f4dc5b5
194,14.830386797,10.908712,30,v6,88000000ffffffffffffa8dd9f4dc5b5
195,14.840933171,10.546374,30,v6,88000000ffffffffffffa8dd9f4dc5b5
196,14.852783457,11.850286,30,v6,88000000ffffffffffffa8dd9f4dc5b5
197,14.863010912,10.227455,30,v6,88000000ffffffffffffa8dd9f4dc5b5
198,14.874306546,11.295634,30,v6,88000000ffffffffffffa8dd9f4dc5b5
199,14.885468689,11.162143,30,v6,88000000ffffffffffffa8dd9f4dc5b5
200,14.895766868,10.298179,30,v6,88000000ffffffffffffa8dd9f4dc5b5
201,14.907078979,11.312111,30,v6,88000000ffffffffffffa8dd9f4dc5b5
202,14.917009960,9.930981,30,v6,88000000ffffffffffffa8dd9f4dc5b5
203,14.927926197,10.916237,30,v6,88000000ffffffffffffa8dd9f4dc5b5
204,14.938207036,10.280839,30,v6,88000000ffffffffffffa8dd9f4dc5b5
205,14.949389188,11.182152,30,v6,88000000ffffffffffffa8dd9f4dc5b5
206,14.959510062,10.120874,30,v6,88000000ffffffffffffa8dd9f4dc5b5
207,14.970832275,11.322213,30,v6,88000000ffffffffffffa8dd9f4dc5b5
208,14.981796778,10.964503,30,v6,88000000ffffffffffffa8dd9f4dc5b5
209,14.993040375,11.243597,30,v6,88000000ffffffffffffa8dd9f4dc5b5
210,15.003260456,10.220081,30,v6,88000000ffffffffffffa8dd9f4dc5b5
211,15.014652517,11.392061,30,v6,88000000ffffffffffffa8dd9f4dc5b5
212,15.025654013,11.001496,30,v6,88000000ffffffffffffa8dd9f4dc5b5
213,15.035882176,10.228163,30,v6,88000000ffffffffffffa8dd9f4dc5b5
214,15.045851210,9.969034,30,v6,88000000ffffffffffffa8dd9f4dc5b5
215,15.056972512,11.121302,30,v6,88000000ffffffffffffa8dd9f4dc5b5
216,15.067131581,10.159069,30,v6,88000000ffffffffffffa8dd9f4dc5b5
217,15.078346151,11.214570,30,v6,88000000ffffffffffffa8dd9f4dc5b5
218,15.089768585,11.422434,30,v6,88000000ffffffffffffa8dd9f4dc5b5
219,15.099789875,10.021290,30,v6,88000000ffffffffffffa8dd9f4dc5b5
220,15.110952628,11.162753,30,v6,88000000ffffffffffffa8dd9f4dc5b5
221,15.122163470,11.210842,30,v6,88000000ffffffffffffa8dd9f4dc5b5
222,15.132325592,10.162122,30,v6,88000000ffffffffffffa8dd9f4dc5b5
223,15.143418129,11.092537,30,v6,88000000ffffffffffffa8dd9f4dc5b5
224,15.153716712,10.298583,30,v6,88000000ffffffffffffa8dd9f4dc5b5
225,15.164835351,11.118639,30,v6,88000000ffffffffffffa8dd9f4dc5b5
226,15.175718900,10.883549,30,v6,88000000ffffffffffffa8dd9f4dc5b5
227,15.187134296,11.415396,30,v6,88000000ffffffffffffa8dd9f4dc5b5
228,15.197371329,10.237033,30,v6,88000000ffffffffffffa8dd9f4dc5b5
229,15.208481723,11.110394,30,v6,88000000ffffffffffffa8dd9f4dc5b5
230,15.218942363,10.460640,30,v6,88000000ffffffffffffa8dd9f4dc5b5
231,15.228902825,9.960462,30,v6,88000000ffffffffffffa8dd9f4dc5b5
232,15.240878815,11.975990,30,v6,88000000ffffffffffffa8dd9f4dc5b5
233,15.251257672,10.378857,30,v6,88000000ffffffffffffa8dd9f4dc5b5
234,15.262495763,11.238091,30,v6,88000000ffffffffffffa8dd9f4dc5b5
